nombre_columna,grupo,nombre_variable,descripcion_grupo,tipo_variable_original,estadistico_zonal,unidad,resolucion_fuente_m,fuente,resolucion_H3,fuente_metadatos
ESA Trees,ESA,Trees,"Cobertura del suelo de la ESA 2021, 10 m, v200, con imágenes de satélites Sentinel 1 y Sentinel 2",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,10,"ESA WorldCover 2021, v200",7,https://geofis.github.io/zonal-statistics/README.html
ESA Shrubland,ESA,Shrubland,"Cobertura del suelo de la ESA 2021, 10 m, v200, con imágenes de satélites Sentinel 1 y Sentinel 2",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,10,"ESA WorldCover 2021, v200",7,https://geofis.github.io/zonal-statistics/README.html
ESA Grassland,ESA,Grassland,"Cobertura del suelo de la ESA 2021, 10 m, v200, con imágenes de satélites Sentinel 1 y Sentinel 2",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,10,"ESA WorldCover 2021, v200",7,https://geofis.github.io/zonal-statistics/README.html
ESA Cropland,ESA,Cropland,"Cobertura del suelo de la ESA 2021, 10 m, v200, con imágenes de satélites Sentinel 1 y Sentinel 2",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,10,"ESA WorldCover 2021, v200",7,https://geofis.github.io/zonal-statistics/README.html
ESA Built-up,ESA,Built-up,"Cobertura del suelo de la ESA 2021, 10 m, v200, con imágenes de satélites Sentinel 1 y Sentinel 2",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,10,"ESA WorldCover 2021, v200",7,https://geofis.github.io/zonal-statistics/README.html
ESA Barren / sparse vegetation,ESA,Barren / sparse vegetation,"Cobertura del suelo de la ESA 2021, 10 m, v200, con imágenes de satélites Sentinel 1 y Sentinel 2",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,10,"ESA WorldCover 2021, v200",7,https://geofis.github.io/zonal-statistics/README.html
ESA Open water,ESA,Open water,"Cobertura del suelo de la ESA 2021, 10 m, v200, con imágenes de satélites Sentinel 1 y Sentinel 2",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,10,"ESA WorldCover 2021, v200",7,https://geofis.github.io/zonal-statistics/README.html
ESA Herbaceous wetland,ESA,Herbaceous wetland,"Cobertura del suelo de la ESA 2021, 10 m, v200, con imágenes de satélites Sentinel 1 y Sentinel 2",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,10,"ESA WorldCover 2021, v200",7,https://geofis.github.io/zonal-statistics/README.html
ESA Mangroves,ESA,Mangroves,"Cobertura del suelo de la ESA 2021, 10 m, v200, con imágenes de satélites Sentinel 1 y Sentinel 2",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,10,"ESA WorldCover 2021, v200",7,https://geofis.github.io/zonal-statistics/README.html
"CGL Closed forest, evergreen needle leaf",CGL,"Closed forest, evergreen needle leaf","Cobertura global del suelo del programa Copernicus 2019, con imágenes del satélite PROBA-V, colección 3, PROBA-V-C3",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,100,Copernicus Global Land Cover 2019,7,https://geofis.github.io/zonal-statistics/README.html
"CGL Closed forest, evergreen broad leaf",CGL,"Closed forest, evergreen broad leaf","Cobertura global del suelo del programa Copernicus 2019, con imágenes del satélite PROBA-V, colección 3, PROBA-V-C3",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,100,Copernicus Global Land Cover 2019,7,https://geofis.github.io/zonal-statistics/README.html
"CGL Closed forest, deciduous broad leaf",CGL,"Closed forest, deciduous broad leaf","Cobertura global del suelo del programa Copernicus 2019, con imágenes del satélite PROBA-V, colección 3, PROBA-V-C3",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,100,Copernicus Global Land Cover 2019,7,https://geofis.github.io/zonal-statistics/README.html
"CGL Closed forest, mixed",CGL,"Closed forest, mixed","Cobertura global del suelo del programa Copernicus 2019, con imágenes del satélite PROBA-V, colección 3, PROBA-V-C3",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,100,Copernicus Global Land Cover 2019,7,https://geofis.github.io/zonal-statistics/README.html
"CGL Closed forest, not matching any of the other definitions",CGL,"Closed forest, not matching any of the other definitions","Cobertura global del suelo del programa Copernicus 2019, con imágenes del satélite PROBA-V, colección 3, PROBA-V-C3",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,100,Copernicus Global Land Cover 2019,7,https://geofis.github.io/zonal-statistics/README.html
"CGL Open forest, evergreen needle leaf",CGL,"Open forest, evergreen needle leaf","Cobertura global del suelo del programa Copernicus 2019, con imágenes del satélite PROBA-V, colección 3, PROBA-V-C3",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,100,Copernicus Global Land Cover 2019,7,https://geofis.github.io/zonal-statistics/README.html
"CGL Open forest, evergreen broad leaf",CGL,"Open forest, evergreen broad leaf","Cobertura global del suelo del programa Copernicus 2019, con imágenes del satélite PROBA-V, colección 3, PROBA-V-C3",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,100,Copernicus Global Land Cover 2019,7,https://geofis.github.io/zonal-statistics/README.html
"CGL Open forest, deciduous broad leaf",CGL,"Open forest, deciduous broad leaf","Cobertura global del suelo del programa Copernicus 2019, con imágenes del satélite PROBA-V, colección 3, PROBA-V-C3",categórica,frecuencia relativa respecto de celdas no nulas x 100,porcentaje,100,Copernicus Global Land Cover 2019,7,https://geofis.github.io/zonal-statistics/README.html
