codigo_carpeta,id_municipio,municipio,provincia_codigo,categoria,n_registros,n_especies,n_hex_con_registros,n_hex_5spp,mediana_registros_hex,n_especies_3hex,n_grupos_habitat_3hex
050201,050201,AZUA,02,APTO,947,513,53,24,3,48,3
051701,051701,BANÍ,17,APTO,1745,753,142,64,5,115,5
060401,060401,BARAHONA,04,APTO,729,491,38,22,11.5,25,2
092902,092902,BAYAGUANA,29,APTO,605,313,60,24,4,34,2
072202,072202,BOHECHÍO,22,APTO,526,349,33,17,6,16,1
022801,022801,BONAO,28,APTO,1873,972,90,40,4,79,1
060402,060402,CABRAL,04,APTO,702,423,23,16,11,17,1
052104,052104,CAMBITA GARABITOS,21,APTO,650,370,36,20,8,22,1
021302,021302,CONSTANZA,13,APTO,5583,1715,154,98,11.5,473,3
022401,022401,COTUÍ,24,APTO,477,301,46,17,3,26,2
061002,061002,DUVERGÉ,10,APTO,2163,861,76,50,11.5,142,4
072203,072203,EL CERCADO,22,APTO,808,456,29,20,10,26,2
080801,080801,EL SEIBO,08,APTO,361,228,45,17,3,4,2
060403,060403,ENRIQUILLO,04,APTO,317,229,35,15,4,5,1
010903,010903,GASPAR HERNÁNDEZ,09,APTO,610,313,39,18,4,27,3
041503,041503,GUAYUBÍN,15,APTO,394,234,68,23,2,25,3
081101,081101,HIGÜEY,11,APTO,3316,774,175,86,5,223,5
021303,021303,JARABACOA,13,APTO,3451,1236,109,73,11,290,1
060407,060407,LA CIÉNAGA,04,APTO,1382,586,34,27,18.5,80,2
081201,081201,LA ROMANA,12,APTO,806,370,48,24,5.5,56,4
021301,021301,LA VEGA,13,APTO,572,382,77,27,2,17,4
032003,032003,LAS TERRENAS,20,APTO,644,315,27,17,10,35,2
080802,080802,MICHES,08,APTO,563,310,58,22,4,25,3
041501,041501,MONTE CRISTI,15,APTO,456,213,50,17,3,24,6
061602,061602,OVIEDO,16,APTO,765,322,83,33,4,51,5
060404,060404,PARAÍSO,04,APTO,1007,529,32,24,14,50,1
061601,061601,PEDERNALES,16,APTO,4124,1340,178,101,8,308,4
070705,070705,PEDRO SANTANA,07,APTO,335,233,34,16,3,6,2
022803,022803,PIEDRA BLANCA,28,APTO,487,314,35,19,6,10,1
060410,060410,POLO,04,APTO,699,379,33,19,7,10,1
011801,011801,PUERTO PLATA,18,APTO,1462,598,81,38,5,91,3
053103,053103,RANCHO ARRIBA,31,APTO,675,366,39,20,5,26,1
093002,093002,SABANA DE LA MAR,30,APTO,1630,657,68,37,8,114,3
053102,053102,SABANA LARGA,31,APTO,1408,568,32,21,12.5,67,1
032001,032001,SAMANÁ,20,APTO,1307,522,101,46,4,98,2
030601,030601,SAN FRANCISCO DE MACORÍS,06,APTO,560,289,69,22,3,35,3
042601,042601,SAN IGNACIO DE SABANETA,26,APTO,795,435,83,29,3,34,2
012505,012505,SAN JOSÉ DE LAS MATAS,25,APTO,1071,583,154,57,3,65,2
053101,053101,SAN JOSÉ DE OCOA,31,APTO,1963,843,86,52,9.5,153,2
072201,072201,SAN JUAN,22,APTO,439,319,70,18,2,6,4
081102,081102,SAN RAFAEL DEL YUMA,11,APTO,1802,632,64,43,11,124,3
012501,012501,SANTIAGO,25,APTO,2051,755,78,42,6.5,146,3
103201,103201,SANTO DOMINGO ESTE,32,APTO,875,433,50,23,5,47,4
103203,103203,SANTO DOMINGO NORTE,32,APTO,1210,472,63,24,4,67,3
011807,011807,SOSÚA,18,APTO,1160,453,57,30,5,102,2
