id_municipio,municipio,provincia_codigo,n_registros,n_especies,n_hex_con_registros,n_hex_5spp,mediana_registros_hex,n_especies_3hex,n_grupos_habitat_3hex,categoria
061601,PEDERNALES,16,4124,1340,178,101,8,308,4,APTO
021302,CONSTANZA,13,5583,1715,154,98,11.5,473,3,APTO
081101,HIGÜEY,11,3316,774,175,86,5,223,5,APTO
021303,JARABACOA,13,3451,1236,109,73,11,290,1,APTO
051701,BANÍ,17,1745,753,142,64,5,115,5,APTO
012505,SAN JOSÉ DE LAS MATAS,25,1071,583,154,57,3,65,2,APTO
053101,SAN JOSÉ DE OCOA,31,1963,843,86,52,9.5,153,2,APTO
061002,DUVERGÉ,10,2163,861,76,50,11.5,142,4,APTO
032001,SAMANÁ,20,1307,522,101,46,4,98,2,APTO
081102,SAN RAFAEL DEL YUMA,11,1802,632,64,43,11,124,3,APTO
012501,SANTIAGO,25,2051,755,78,42,6.5,146,3,APTO
022801,BONAO,28,1873,972,90,40,4,79,1,APTO
011801,PUERTO PLATA,18,1462,598,81,38,5,91,3,APTO
093002,SABANA DE LA MAR,30,1630,657,68,37,8,114,3,APTO
061602,OVIEDO,16,765,322,83,33,4,51,5,APTO
011807,SOSÚA,18,1160,453,57,30,5,102,2,APTO
042601,SAN IGNACIO DE SABANETA,26,795,435,83,29,3,34,2,APTO
060407,LA CIÉNAGA,04,1382,586,34,27,18.5,80,2,APTO
021301,LA VEGA,13,572,382,77,27,2,17,4,APTO
060404,PARAÍSO,04,1007,529,32,24,14,50,1,APTO
050201,AZUA,02,947,513,53,24,3,48,3,APTO
103203,SANTO DOMINGO NORTE,32,1210,472,63,24,4,67,3,APTO
081201,LA ROMANA,12,806,370,48,24,5.5,56,4,APTO
092902,BAYAGUANA,29,605,313,60,24,4,34,2,APTO
103201,SANTO DOMINGO ESTE,32,875,433,50,23,5,47,4,APTO
041503,GUAYUBÍN,15,394,234,68,23,2,25,3,APTO
060401,BARAHONA,04,729,491,38,22,11.5,25,2,APTO
080802,MICHES,08,563,310,58,22,4,25,3,APTO
030601,SAN FRANCISCO DE MACORÍS,06,560,289,69,22,3,35,3,APTO
053102,SABANA LARGA,31,1408,568,32,21,12.5,67,1,APTO
072203,EL CERCADO,22,808,456,29,20,10,26,2,APTO
052104,CAMBITA GARABITOS,21,650,370,36,20,8,22,1,APTO
053103,RANCHO ARRIBA,31,675,366,39,20,5,26,1,APTO
060410,POLO,04,699,379,33,19,7,10,1,APTO
022803,PIEDRA BLANCA,28,487,314,35,19,6,10,1,APTO
072201,SAN JUAN,22,439,319,70,18,2,6,4,APTO
010903,GASPAR HERNÁNDEZ,09,610,313,39,18,4,27,3,APTO
052105,VILLA ALTAGRACIA,21,487,259,53,18,4,15,2,APTO
072202,BOHECHÍO,22,526,349,33,17,6,16,1,APTO
032003,LAS TERRENAS,20,644,315,27,17,10,35,2,APTO
022401,COTUÍ,24,477,301,46,17,3,26,2,APTO
080801,EL SEIBO,08,361,228,45,17,3,4,2,APTO
041501,MONTE CRISTI,15,456,213,50,17,3,24,6,APTO
060402,CABRAL,04,702,423,23,16,11,17,1,APTO
070705,PEDRO SANTANA,07,335,233,34,16,3,6,2,APTO
060403,ENRIQUILLO,04,317,229,35,15,4,5,1,APTO
103205,SAN ANTONIO DE GUERRA,32,324,175,40,15,3.5,17,1,CONDICIONAL
100101,SANTO DOMINGO DE GUZMÁN,01,847,414,21,14,28,53,2,CONDICIONAL
061003,LA DESCUBIERTA,10,650,385,25,14,9,7,3,CONDICIONAL
010901,MOCA,09,411,243,54,14,2,17,1,CONDICIONAL
060405,VICENTE NOBLE,04,464,229,37,14,3,12,2,CONDICIONAL
032002,SÁNCHEZ,20,282,194,36,14,3.5,8,3,CONDICIONAL
092904,YAMASÁ,29,253,163,35,13,3,4,1,CONDICIONAL
050202,LAS CHARCAS,02,281,155,37,13,3,10,3,CONDICIONAL
070704,HONDO VALLE,07,739,362,21,12,8,18,2,CONDICIONAL
042603,MONCIÓN,26,374,233,24,12,7,9,1,CONDICIONAL
050204,PADRE LAS CASAS,02,303,233,39,12,3,4,2,CONDICIONAL
103207,PEDRO BRAND,32,382,225,33,12,3,12,1,CONDICIONAL
052101,SAN CRISTÓBAL,21,289,195,37,12,3,6,2,CONDICIONAL
040502,LOMA DE CABRERA,05,262,186,28,11,2.5,3,2,CONDICIONAL
022802,MAIMÓN,28,234,167,17,11,7,2,2,CONDICIONAL
031402,CABRERA,14,235,160,32,11,3,6,3,CONDICIONAL
092301,SAN PEDRO DE MACORÍS,23,240,144,22,11,4.5,7,4,CONDICIONAL
103204,BOCA CHICA,32,341,200,22,10,6,6,3,CONDICIONAL
061001,JIMANÍ,10,310,165,31,10,4,6,3,CONDICIONAL
050210,ESTEBANÍA,02,274,162,22,10,3,6,1,CONDICIONAL
052108,LOS CACAOS,21,249,141,21,10,4,4,1,CONDICIONAL
042701,MAO,27,172,140,33,10,2,3,1,CONDICIONAL
042702,ESPERANZA,27,646,377,26,9,2,8,2,CONDICIONAL
050209,GUAYABAL,02,335,231,30,9,2,4,2,CONDICIONAL
092303,RAMÓN SANTANA,23,358,205,25,9,2,6,2,CONDICIONAL
012507,VILLA GONZÁLEZ,25,232,173,13,9,8,1,1,CONDICIONAL
092901,MONTE PLATA,29,266,148,34,9,2,9,2,CONDICIONAL
061006,MELLA,10,167,125,25,9,2,0,2,CONDICIONAL
103202,SANTO DOMINGO OESTE,32,132,96,19,9,5,3,2,NO RECOMENDADO
092306,GUAYACANES,23,236,133,18,8,5.5,9,2,CONDICIONAL
061004,POSTRER RÍO,10,210,162,16,7,4.5,0,3,NO RECOMENDADO
022404,LA MATA,24,189,130,13,7,8,3,2,NO RECOMENDADO
031401,NAGUA,14,162,112,28,7,2,0,4,NO RECOMENDADO
030605,VILLA RIVA,06,117,91,23,7,3,0,3,NO RECOMENDADO
011806,LUPERÓN,18,85,65,22,7,2.5,3,3,NO RECOMENDADO
050208,TÁBARA ARRIBA,02,281,160,16,6,4,2,2,NO RECOMENDADO
012503,JÁNICO,25,200,145,21,6,3,2,2,NO RECOMENDADO
081203,VILLA HERMOSA,12,226,143,20,6,2.5,4,2,NO RECOMENDADO
060301,NEIBA,03,87,71,17,6,2,0,2,NO RECOMENDADO
010904,JAMAO AL NORTE,09,59,53,15,6,4,0,1,NO RECOMENDADO
092302,LOS LLANOS,23,63,53,14,6,1,0,1,NO RECOMENDADO
040503,PARTIDO,05,249,145,11,5,6,2,2,NO RECOMENDADO
011802,ALTAMIRA,18,228,128,15,5,2,0,1,NO RECOMENDADO
031902,TENARES,19,162,104,13,5,1,4,1,NO RECOMENDADO
072205,LAS MATAS DE FARFÁN,22,109,87,21,5,2,1,1,NO RECOMENDADO
022402,CEVICOS,24,134,81,14,5,2.5,0,2,NO RECOMENDADO
093003,EL VALLE,30,130,80,8,5,12,1,1,NO RECOMENDADO
093001,HATO MAYOR,30,103,72,24,5,2,0,2,NO RECOMENDADO
060304,VILLA JARAGUA,03,89,70,13,5,3,1,2,NO RECOMENDADO
041505,PEPILLO SALCEDO,15,81,67,11,5,3,0,1,NO RECOMENDADO
052107,SAN GREGORIO DE NIGUA,21,84,66,9,5,6,3,1,NO RECOMENDADO
052103,BAJOS DE HAINA,21,67,54,9,5,5,0,2,NO RECOMENDADO
011808,VILLA ISABELA,18,78,53,16,5,2.5,3,2,NO RECOMENDADO
011804,IMBERT,18,115,87,13,4,3,0,1,NO RECOMENDADO
040501,DAJABÓN,05,104,85,24,4,2,0,1,NO RECOMENDADO
031404,RÍO SAN JUAN,14,111,80,17,4,1,1,2,NO RECOMENDADO
012506,TAMBORIL,25,81,74,11,4,4,0,1,NO RECOMENDADO
060409,LAS SALINAS,04,91,70,8,4,6,0,1,NO RECOMENDADO
041506,VILLA VÁSQUEZ,15,92,59,20,4,2,1,4,NO RECOMENDADO
040504,RESTAURACIÓN,05,77,58,21,4,1,0,2,NO RECOMENDADO
042703,LAGUNA SALADA,27,76,56,18,4,3,1,4,NO RECOMENDADO
092903,SABANA GRANDE DE BOYÁ,29,71,45,17,4,2,5,2,NO RECOMENDADO
060411,JAQUIMEYES,04,45,39,12,4,3.5,0,1,NO RECOMENDADO
011809,VILLA MONTELLANO,18,41,33,9,4,5,0,1,NO RECOMENDADO
011803,GUANANICO,18,97,82,7,3,3,0,1,NO RECOMENDADO
051702,NIZAO,17,102,77,11,3,3,0,2,NO RECOMENDADO
103206,LOS ALCARRIZOS,32,96,69,12,3,2,0,2,NO RECOMENDADO
060305,LOS RÍOS,03,68,63,17,3,2,0,3,NO RECOMENDADO
072206,VALLEJUELO,22,82,58,15,3,3,1,2,NO RECOMENDADO
012504,LICEY AL MEDIO,25,64,52,5,3,9,0,1,NO RECOMENDADO
031403,EL FACTOR,14,55,41,10,3,2,0,1,NO RECOMENDADO
050205,PERALTA,02,71,41,13,3,3,0,1,NO RECOMENDADO
052102,SABANA GRANDE DE PALENQUE,21,35,28,6,3,6.5,0,1,NO RECOMENDADO
012502,BISONÓ,25,127,98,13,2,3,0,1,NO RECOMENDADO
061005,CRISTÓBAL,10,144,94,10,2,2,0,2,NO RECOMENDADO
070702,BÁNICA,07,87,66,9,2,2,0,2,NO RECOMENDADO
070701,COMENDADOR,07,61,42,9,2,3,0,1,NO RECOMENDADO
030603,CASTILLO,06,49,41,4,2,7,0,1,NO RECOMENDADO
031901,SALCEDO,19,51,41,19,2,1,0,1,NO RECOMENDADO
021304,JIMA ABAJO,13,50,40,11,2,1,0,2,NO RECOMENDADO
012508,PUÑAL,25,46,31,13,2,2,0,1,NO RECOMENDADO
050206,SABANA YEGUA,02,36,30,6,2,3,0,1,NO RECOMENDADO
070706,JUAN SANTIAGO,07,31,26,10,2,1,1,1,NO RECOMENDADO
081202,GUAYMATE,12,30,22,12,2,2,0,1,NO RECOMENDADO
060406,EL PEÑÓN,04,18,17,4,2,4,0,0,NO RECOMENDADO
050203,LAS YAYAS DE VIAJAMA,02,112,41,11,1,1,1,2,NO RECOMENDADO
060303,TAMAYO,03,43,34,15,1,1,0,3,NO RECOMENDADO
060302,GALVÁN,03,37,33,9,1,2,0,1,NO RECOMENDADO
092905,PERALVILLO,29,39,32,5,1,1,0,1,NO RECOMENDADO
092304,CONSUELO,23,22,20,7,1,1,0,2,NO RECOMENDADO
022403,FANTINO,24,39,18,7,1,3,0,1,NO RECOMENDADO
040505,EL PINO,05,30,17,6,1,3,1,1,NO RECOMENDADO
031903,VILLA TAPIA,19,14,14,6,1,1,0,1,NO RECOMENDADO
070703,EL LLANO,07,13,13,7,1,1,0,1,NO RECOMENDADO
042602,VILLA LOS ALMÁCIGOS,26,20,20,11,0,1,0,2,NO RECOMENDADO
011805,LOS HIDALGOS,18,15,14,6,0,2.5,0,1,NO RECOMENDADO
012509,SABANA IGLESIA,25,17,14,10,0,1.5,0,2,NO RECOMENDADO
