occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
01ab190a-d121-480c-aa7e-43850995e00e,2270674013,Eugenia P.Micheli ex L.,Eugenia P.Micheli ex L.,Myrtaceae,Eugenia,GENUS,PRESERVED_SPECIMEN,1986-07-30,1986,-70.4833,19.4833,NA,e05fd4c2-4d77-4c50-880e-1b22096af300,ASU,Plants,09,01,MOCA,010901,874c89b4dffffff
057bdf08-6c87-4827-b0f9-899b1f927512,1927845025,Niphidium crassifolium,Niphidium crassifolium (L.) Lellinger,Polypodiaceae,Niphidium,SPECIES,PRESERVED_SPECIMEN,1986-08-12,1986,-70.48,19.4917,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,09,01,MOCA,010901,874c89b4dffffff
05e41b3d-cb34-4d37-9b59-56087969cf96,1927850618,Vittaria lineata,Vittaria lineata (L.) Sm.,Pteridaceae,Vittaria,SPECIES,PRESERVED_SPECIMEN,1987-02-17,1987,-70.5,19.5,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,09,01,MOCA,010901,874c89b4cffffff
09cbc21a-3a52-4e2b-8e72-e7f1464b75e4,1457747033,Miconia lima,Miconia lima (Desr.) M.Gómez,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,1987-02-17,1987,-70.5,19.5,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,09,01,MOCA,010901,874c89b4cffffff
0b0367f8-0b10-400b-8f70-3a0d4489d549,1927923649,Asplenium cuneatum,Asplenium cuneatum Lam.,Aspleniaceae,Asplenium,SPECIES,PRESERVED_SPECIMEN,1987-02-17,1987,-70.5,19.52,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,09,01,MOCA,010901,874c89b45ffffff
0b93d4b6-4104-495a-8a64-67f2cc583772,1927931531,Miconia limoides,Leandra limoides (Urb.) Judd & Skean,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,1986-07-30,1986,-70.48,19.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,09,01,MOCA,010901,874c89b4dffffff
0c9ca25c-2232-41d2-a717-9996744728cd,1927945703,Hymenophyllum Sm.,Hymenophyllum Sm.,Hymenophyllaceae,Hymenophyllum,GENUS,PRESERVED_SPECIMEN,1987-02-17,1987,-70.5,19.52,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,09,01,MOCA,010901,874c89b45ffffff
0e4b3d37-2808-4b8f-ab69-ae2ccac7a5fc,1927969697,Mora ekmanii,Mora ekmanii (Urb.) Britton & Rose,Fabaceae,Mora,SPECIES,PRESERVED_SPECIMEN,1987-02-17,1987,-70.5,19.52,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,09,01,MOCA,010901,874c89b45ffffff
0f7fe837-75b4-4fe4-ad8e-d56a4fea8a26,1927986390,Anemia adiantifolia,Anemia adiantifolia (L.) Sw.,Anemiaceae,Anemia,SPECIES,PRESERVED_SPECIMEN,1987-06-27,1987,-70.52,19.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,09,01,MOCA,010901,874c89b4affffff
10199c78-40b6-42e0-adea-ab72cd15ec38,1927995056,Rhytidophyllum auriculatum,Rhytidophyllum auriculatum Hook.,Gesneriaceae,Rhytidophyllum,SPECIES,PRESERVED_SPECIMEN,1986-08-13,1986,-70.48,19.4917,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,09,01,MOCA,010901,874c89b4dffffff
116de1af-64f6-409e-bd7c-c2d85e5baccb,1928013436,Phlegmariurus taxifolius,Lycopodium taxifolium Sw.,Lycopodiaceae,Phlegmariurus,SPECIES,PRESERVED_SPECIMEN,1986-08-12,1986,-70.48,19.4917,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,09,01,MOCA,010901,874c89b4dffffff
13636f83-a58e-4f66-8a85-a03f9effdea7,1928041970,Piper hispidum,Piper hispidum Sw.,Piperaceae,Piper,SPECIES,PRESERVED_SPECIMEN,1986-07-30,1986,-70.48,19.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,09,01,MOCA,010901,874c89b4dffffff
15622799,4042905550,Asplenium serra,Asplenium serra Langsd. & Fisch.,Aspleniaceae,Asplenium,SPECIES,PRESERVED_SPECIMEN,1984,1984,-70.58,19.4,NA,780977d6-1cdb-4804-904f-9303cce8b4a1,KUN,,09,01,MOCA,010901,874c89a55ffffff
17042bec-9696-4547-8309-926a410c66c0,1928092402,Philodendron lingulatum,Philodendron lingulatum (L.) K.Koch,Araceae,Philodendron,SPECIES,PRESERVED_SPECIMEN,1987-02-16,1987,-70.52,19.5,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,09,01,MOCA,010901,874c89b43ffffff
1781b863-a3d8-4fde-9e0f-f3445c67296a,1928099167,Senna occidentalis,Senna occidentalis (L.) Link,Fabaceae,Senna,SPECIES,PRESERVED_SPECIMEN,1990-06-30,1990,-70.42,19.58,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,09,01,MOCA,010901,874cf27b3ffffff
192768cf-5e52-4400-b566-9fede41de71b,1928122282,Centratherum punctatum,Centratherum punctatum Cass.,Asteraceae,Centratherum,SPECIES,PRESERVED_SPECIMEN,1987-02-16,1987,-70.52,19.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,09,01,MOCA,010901,874c89b4affffff
19B76B64-5191-46FF-9FB9-8E039000ECC9,122966880,Lantana reticulata,Lantana reticulata Pers.,Verbenaceae,Lantana,SPECIES,PRESERVED_SPECIMEN,1984-10-05,1984,-70.5,19.35,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,09,01,MOCA,010901,874c89a48ffffff
1a04566f-edee-4778-934d-2980e744b969,3920743305,Hymenophyllum polyanthos,Hymenophyllum polyanthos (Sw.) Sw.,Hymenophyllaceae,Hymenophyllum,SPECIES,PRESERVED_SPECIMEN,1989-09-30,1989,-70.54,19.39,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,09,01,MOCA,010901,874c89a40ffffff
1a26f7ad-4a38-4ce6-a07c-59ca2bbc4a1b,1928136199,Ovieda spinosa,Ovieda spinosa L.,Lamiaceae,Ovieda,SPECIES,PRESERVED_SPECIMEN,1986-07-30,1986,-70.48,19.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,09,01,MOCA,010901,874c89b4dffffff
1b1acdd8-d97c-4a40-90a8-2b144b0e5705,1928149481,Psilotum nudum,Psilotum nudum (L.) P.Beauv.,Psilotaceae,Psilotum,SPECIES,PRESERVED_SPECIMEN,1987-02-17,1987,-70.5,19.52,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,09,01,MOCA,010901,874c89b45ffffff
1bf1abe1-eae8-457d-96a8-a66f1a23464e,3925742305,Notholaena trichomanoides,Cheilanthes trichomanoides (L.) Mett.,Pteridaceae,Notholaena,SPECIES,PRESERVED_SPECIMEN,2004-07-15,2004,-70.4911,19.4457,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,09,01,MOCA,010901,874c89a65ffffff
1cacb337-2b01-4be1-93c5-d161b0322bd4,1928171909,Marcgravia rectiflora,Marcgravia rectiflora Triana & Planch.,Marcgraviaceae,Marcgravia,SPECIES,PRESERVED_SPECIMEN,1987-02-17,1987,-70.5,19.52,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,09,01,MOCA,010901,874c89b45ffffff
