occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
00184e5c-99ce-4183-bfb9-5f7bedd9c664,1927769393,Pecluma dulcis,Polypodium dulce Poir.,Polypodiaceae,Pecluma,SPECIES,PRESERVED_SPECIMEN,1984-05-08,1984,-70.63,19.6,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,18,01,PUERTO PLATA,011801,874c89b05ffffff
007884b5-07ed-4ba5-8bb4-3154fb83e951,1927774252,Oreopanax capitatus,Oreopanax capitatus (Jacq.) Decne. & Planch.,Araliaceae,Oreopanax,SPECIES,PRESERVED_SPECIMEN,1984-05-08,1984,-70.63,19.6,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,18,01,PUERTO PLATA,011801,874c89b05ffffff
014e255a-b571-4052-a6e2-c37057685aa5,1927787956,Tectaria heracleifolia,Tectaria heracleifolia (Willd.) Underw.,Tectariaceae,Tectaria,SPECIES,PRESERVED_SPECIMEN,1984-05-08,1984,-70.63,19.6,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,18,01,PUERTO PLATA,011801,874c89b05ffffff
01cfb4ec-b38d-4efc-9488-30f6b0cb5268,4079748114,Vernonanthura buxifolia,Vernonanthura buxifolia (Less.) H.Rob.,Asteraceae,Vernonanthura,SPECIES,PRESERVED_SPECIMEN,1965-02-20,1965,-70.563674,19.546358,412,3b040a48-deae-485c-95b1-2ac80b7fdc54,IIBZ,USD,18,01,PUERTO PLATA,011801,874c89b73ffffff
01d2e080-2c99-4317-84fb-140df044c6b4,1927795726,Prestoea acuminata,Prestoea acuminata var. montana (Graham) A.J.Hend. & Galeano,Arecaceae,Prestoea,VARIETY,PRESERVED_SPECIMEN,1984-05-08,1984,-70.63,19.6,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,18,01,PUERTO PLATA,011801,874c89b05ffffff
01e4b36b-fcc8-41e1-a35b-0761397d2e30,1927796901,Jacquemontia havanensis,Jacquemontia havanensis (Jacq.) Urb.,Convolvulaceae,Jacquemontia,SPECIES,PRESERVED_SPECIMEN,1975-11-22,1975,-70.73248,19.82382,514.39,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,18,01,PUERTO PLATA,011801,874c89963ffffff
02a03f4e-6732-4347-82c4-86dbf9484644,1927807676,Casearia hirsuta,Casearia hirsuta Sw.,Salicaceae,Casearia,SPECIES,PRESERVED_SPECIMEN,1976-10-17,1976,-70.73248,19.82382,514.39,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,18,01,PUERTO PLATA,011801,874c89963ffffff
0307b571-d2e2-4e84-9c87-3a73e73fcfd0,1927810039,Asplenium dentatum,Asplenium dentatum L.,Aspleniaceae,Asplenium,SPECIES,PRESERVED_SPECIMEN,1984-05-09,1984,-70.67,19.75,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,18,01,PUERTO PLATA,011801,874cf24b3ffffff
0381923d-7786-47bf-bd46-280adb6b617c,1927817577,Combretum laxum,Combretum laxum Jacq.,Combretaceae,Combretum,SPECIES,PRESERVED_SPECIMEN,1984-05-09,1984,-70.67,19.75,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,18,01,PUERTO PLATA,011801,874cf24b3ffffff
04a1188e-235d-4863-ac14-141a591394b3,4432716301,Coccoloba buchii,Coccoloba buchii O.C.Schmidt,Polygonaceae,Coccoloba,SPECIES,PRESERVED_SPECIMEN,2000-06-24,2000,-70.8,19.85,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,18,01,PUERTO PLATA,011801,874c89970ffffff
