occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
0396933c-3b05-40cb-8ae4-df838048a3b1,1927818666,Symphysia racemosa,Vaccinium racemosum (Vahl) Wilbur & Luteyn,Ericaceae,Symphysia,SPECIES,PRESERVED_SPECIMEN,1987-10-10,1987,-70.75,19.58,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,25,07,VILLA GONZÁLEZ,012507,874c89baeffffff
03eef252-488d-4910-ae8b-aee0cf256187,1927824634,Argythamnia candicans,Argythamnia candicans Sw.,Euphorbiaceae,Argythamnia,SPECIES,PRESERVED_SPECIMEN,1987-10-09,1987,-70.8,19.55,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,25,07,VILLA GONZÁLEZ,012507,874c89b82ffffff
0403050b-bb41-4b40-be86-98d5125422a9,1927825356,Senna atomaria,Senna atomaria (L.) H.S.Irwin & Barneby,Fabaceae,Senna,SPECIES,PRESERVED_SPECIMEN,1987-10-09,1987,-70.8,19.55,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,25,07,VILLA GONZÁLEZ,012507,874c89b82ffffff
0578fa15-54a2-4a40-a2c5-68472c63a7a1,1927844860,Ficus citrifolia,Ficus citrifolia Mill.,Moraceae,Ficus,SPECIES,PRESERVED_SPECIMEN,1987-06-26,1987,-70.78,19.58,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,25,07,VILLA GONZÁLEZ,012507,874c89b84ffffff
0aad8399-bbdd-48cb-8dc1-5373cf3aed52,1927918667,Phlegmariurus taxifolius,Lycopodium taxifolium Sw.,Lycopodiaceae,Phlegmariurus,SPECIES,PRESERVED_SPECIMEN,1989-06-07,1989,-70.75,19.58,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,25,07,VILLA GONZÁLEZ,012507,874c89baeffffff
0b53db49-070c-4003-bf70-53555bc76f02,1927927777,Piper hispidum,Piper hispidum Sw.,Piperaceae,Piper,SPECIES,PRESERVED_SPECIMEN,1987-10-10,1987,-70.75,19.58,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,25,07,VILLA GONZÁLEZ,012507,874c89baeffffff
0b658df4-cb95-4457-9a0e-0f3107872c60,1927928658,Phlebodium aureum,Phlebodium aureum (L.) J.Sm.,Polypodiaceae,Phlebodium,SPECIES,PRESERVED_SPECIMEN,1989-06-29,1989,-70.75,19.58,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,25,07,VILLA GONZÁLEZ,012507,874c89baeffffff
0b9d1e6f-847b-475c-89f5-9a8204809cec,1927931841,Guaiacum officinale,Guaiacum officinale L.,Zygophyllaceae,Guaiacum,SPECIES,PRESERVED_SPECIMEN,1987-10-09,1987,-70.8,19.55,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,25,07,VILLA GONZÁLEZ,012507,874c89b82ffffff
0d37bf4b-c245-410f-b5ae-3273bfadd0a5,1927954656,Tillandsia recurvata,Tillandsia recurvata (L.) L.,Bromeliaceae,Tillandsia,SPECIES,PRESERVED_SPECIMEN,1981-10-01,1981,-70.8,19.53,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,25,07,VILLA GONZÁLEZ,012507,874c89b9cffffff
0e36786a-73a6-4625-a167-3ede8a063f43,1927968749,Vachellia macracantha,Vachellia macracantha (Humb. & Bonpl. ex Willd.) Seigler & Ebinger,Fabaceae,Vachellia,SPECIES,PRESERVED_SPECIMEN,1989-06-30,1989,-70.75,19.55,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,25,07,VILLA GONZÁLEZ,012507,874c89baaffffff
