occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
01fa92c8-4b2e-419e-9e62-0052497cbd9f,1927795687,Psychotria heterochroa,Psychotria heterochroa Urb.,Rubiaceae,Psychotria,SPECIES,PRESERVED_SPECIMEN,1963-05-18,1963,-70.527849,19.220826,4601.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,01,LA VEGA,021301,874cd4d8affffff
04992dc4-d619-4d16-9853-92e597e243d3,1927832375,Spondias purpurea,Spondias purpurea L.,Anacardiaceae,Spondias,SPECIES,PRESERVED_SPECIMEN,1981-09-29,1981,-70.6,19.25,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,01,LA VEGA,021301,874cd4d93ffffff
049fb946-81cc-46c1-98a5-2cdcbfa67f0d,1927833864,Acalypha hispida,Acalypha hispida Burm.fil.,Euphorbiaceae,Acalypha,SPECIES,PRESERVED_SPECIMEN,1963-05-18,1963,-70.527849,19.220826,4601.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,01,LA VEGA,021301,874cd4d8affffff
04D89D8E-AA51-44C5-A8F0-194CB1687AA7,123018088,Trema micranthum,Trema micranthum (L.) Blume,Cannabaceae,Trema,SPECIES,PRESERVED_SPECIMEN,1983-08-26,1983,-70.6667,19.2167,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,13,01,LA VEGA,021301,874c89341ffffff
064356fd-510d-4c49-91c5-e530e6769792,1927855993,Varronia bullata,Varronia bullata subsp. humilis (Jacq.) Feuillet,Cordiaceae,Varronia,SUBSPECIES,PRESERVED_SPECIMEN,1981-09-29,1981,-70.6,19.25,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,01,LA VEGA,021301,874cd4d93ffffff
067d5974-7b13-4ed1-b21d-f417f37a69f8,1927859470,Securidaca virgata,Securidaca virgata Sw.,Polygalaceae,Securidaca,SPECIES,PRESERVED_SPECIMEN,2006-05-06,2006,-70.6003,19.2325,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,01,LA VEGA,021301,874c8936dffffff
06992709-0910-4c3e-9b1f-9792b9dca43c,1927862428,Cordia alliodora,Cordia alliodora (Ruiz & Pav.) Oken,Cordiaceae,Cordia,SPECIES,PRESERVED_SPECIMEN,1982-10-15,1982,-70.45,19.28,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,01,LA VEGA,021301,874cd4d1effffff
06ff467f-707f-4ca4-bb1b-3b5f405dc7c2,3978753241,Mikania papillosa,Mikania papillosa Klatt,Asteraceae,Mikania,SPECIES,PRESERVED_SPECIMEN,1990-01-07,1990,-70.520124,19.219269,800,abba37fc-a9c3-4de2-bba2-7f929abc937d,BAYLU,BAYLU,13,01,LA VEGA,021301,874cd4d8bffffff
09AFC408-CA0D-449B-8CB8-0ED72FB3A659,123013675,Ternstroemia peduncularis,Ternstroemia peduncularis DC.,Pentaphylacaceae,Ternstroemia,SPECIES,PRESERVED_SPECIMEN,1983-08-26,1983,-70.6667,19.2167,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,13,01,LA VEGA,021301,874c89341ffffff
09b3e2f5-c44b-4a07-9fe4-0fcbf9105c0c,1927904685,Anredera vesicaria,Anredera leptostachys (Moq.) Steenis,Basellaceae,Anredera,SPECIES,PRESERVED_SPECIMEN,2006-05-04,2006,-70.6003,19.2325,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,01,LA VEGA,021301,874c8936dffffff
