occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
000fe823-8ca7-4c95-93db-e05d30b7e941,1927769222,Parablechnum tuerckheimii,Blechnum tuerckheimii Brause,Blechnaceae,Parablechnum,SPECIES,PRESERVED_SPECIMEN,1986-02-07,1986,-70.62,18.92,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd4433ffffff
001483a2-8c29-4e29-8bfa-a2058b532bcb,1927769472,Rhodopis planisiliqua,Rhodopis planisiliqua (L.) Urb.,Fabaceae,Rhodopis,SPECIES,PRESERVED_SPECIMEN,1989-09-15,1989,-70.73,18.95,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd4598ffffff
00166923-83de-4d03-85f4-ce7a5793fc41,3329399599,Miconia macrocarpa,Miconia macrocarpa subsp. macrocarpa,Melastomataceae,Miconia,SUBSPECIES,PRESERVED_SPECIMEN,2006-06-08,2006,-70.693639,18.831417,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,13,02,CONSTANZA,021302,874cd448effffff
001aeb15-bc89-4d13-bdad-b3d4af83a26f,1927769668,Campyloneurum amphostenon,Campyloneurum amphostenon (Kunze ex Klotzsch) Fée,Polypodiaceae,Campyloneurum,SPECIES,PRESERVED_SPECIMEN,1982-09-08,1982,-70.8,18.9583,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd696effffff
0020AC07-79C4-402F-B88B-8CCC6D25E019,123000622,Rudbeckia sullivantii,Rudbeckia sullivantii C.L.Boynton & Beadle,Asteraceae,Rudbeckia,SPECIES,PRESERVED_SPECIMEN,2000-09-11,2000,-70.65,18.8,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,13,02,CONSTANZA,021302,874cd44d4ffffff
003cb626-c6f1-4c6d-a787-6b312221a5ce,1927771958,Catopsis nitida,Catopsis nitida (Hook.) Griseb.,Bromeliaceae,Catopsis,SPECIES,PRESERVED_SPECIMEN,1982-02-23,1982,-70.78,18.98,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd4592ffffff
004152db-eaa8-44d0-bdd7-fde1802f6760,1927771396,Prunus occidentalis,Prunus occidentalis Sw.,Rosaceae,Prunus,SPECIES,PRESERVED_SPECIMEN,1980-10-28,1980,-70.78,18.92,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd696bffffff
00762a55-a868-4864-b685-a9678e8d8667,1927776194,Stelis repens,Stelis repens Cogn.,Orchidaceae,Stelis,SPECIES,PRESERVED_SPECIMEN,1910-01,1910,-70.729947,18.921703,3421.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd459bffffff
00786e7c-d13c-4a58-b9b2-1052a349b8bf,1927774358,Euphorbia adenoptera,Euphorbia adenoptera subsp. adenoptera,Euphorbiaceae,Euphorbia,SUBSPECIES,PRESERVED_SPECIMEN,1910-02,1910,-70.738773,18.912805,2231.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd44b5ffffff
007becb4-a200-45aa-a14d-8adf25eaff52,1927774357,Ruellia coccinea,Ruellia coccinea (L.) Vahl,Acanthaceae,Ruellia,SPECIES,PRESERVED_SPECIMEN,1910-05,1910,-70.738773,18.912805,2231.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd44b5ffffff
00E8088C-7498-4B04-80F1-DBFEB80B5B9B,1503261722,Salvia arborescens,Salvia arborescens Urb. & Ekman,Lamiaceae,Salvia,SPECIES,PRESERVED_SPECIMEN,2010-09-24,2010,-70.7258,18.8406,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,13,02,CONSTANZA,021302,874cd4483ffffff
00c4b4c5-3108-43c9-b0c7-30972cbb2c7b,1998305074,Epidendrum paranaense,Epidendrum paranaense Barb.Rodr.,Orchidaceae,Epidendrum,SPECIES,PRESERVED_SPECIMEN,1986-01-24,1986,-70.8,18.9,NA,861e6afe-f762-11e1-a439-00145eb45e9a,GH,GH,13,02,CONSTANZA,021302,874cd6948ffffff
00dc94c3-6800-4b29-b186-0881adf338e1,1927780073,Erigeron dissectus,Erigeron dissectus Urb.,Asteraceae,Erigeron,SPECIES,PRESERVED_SPECIMEN,1969-04-12,1969,-70.700014,18.833336,1876.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd448effffff
016746b6-6f0d-498d-9e7c-1d703900473a,1927788203,Zygodon viridissimus,Zygodon viridissimus (Dicks.) Brid.,Orthotrichaceae,Zygodon,SPECIES,PRESERVED_SPECIMEN,1982-05-14,1982,-70.62,18.82,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd44f0ffffff
0172a3c2-687f-4244-ab2f-99bcebab710b,1927788469,Breutelia tomentosa,Breutelia tomentosa (Sw. ex Brid.) Spruce,Bartramiaceae,Breutelia,SPECIES,PRESERVED_SPECIMEN,1981-04-05,1981,-70.62,18.82,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd44f0ffffff
017d5167-b92f-46df-91df-2b41281a3f30,1927789064,Campylium chrysophyllum,Campyliadelphus chrysophyllus (Brid.) Kanda,Amblystegiaceae,Campylium,SPECIES,PRESERVED_SPECIMEN,1987-01-10,1987,-70.67,18.78,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd44d2ffffff
019fe5c4-fc4a-4bad-9bce-821a651d6800,1457744274,Nephrolepis brownii,Nephrolepis brownii (Desv.) Hovenkamp & Miyam.,Nephrolepidaceae,Nephrolepis,SPECIES,PRESERVED_SPECIMEN,1983-09-22,1983,-70.533333,18.766667,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,13,02,CONSTANZA,021302,874cd44ebffffff
01C38161-A611-46BC-87D9-9D39745937C3,153280866,Psidium guajava,Psidium guajava L.,Myrtaceae,Psidium,SPECIES,PRESERVED_SPECIMEN,1980-07-22,1980,-70.6083,18.9833,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,13,02,CONSTANZA,021302,874cd451affffff
01FE0607-AFD4-4FD4-94E0-4B84BC6E0D36,122950511,Galium aparine,Galium aparine L.,Rubiaceae,Galium,SPECIES,PRESERVED_SPECIMEN,1982-04-15,1982,-70.7,18.8167,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,13,02,CONSTANZA,021302,874cd448affffff
01fd69c3-d7ec-4ece-8fd8-c61b98a51e0a,1927795542,Chaetogastra longifolia,Tibouchina longifolia (Vahl) Baill.,Melastomataceae,Chaetogastra,SPECIES,PRESERVED_SPECIMEN,1983-10-13,1983,-70.8,18.9583,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd696effffff
0200dc6c-8fc6-4a2e-bac3-6ba9250d02a5,1927795955,Wigandia brevistyla,Wigandia brevistyla Cornejo,Namaceae,Wigandia,SPECIES,PRESERVED_SPECIMEN,1982-04-28,1982,-70.82,18.98,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd6960ffffff
0210f717-7e3a-45a2-a20a-3450b7ed448a,1927799344,Drepanolejeunea dissitifolia,Drepanolejeunea dissitifolia A. Evans,Lejeuneaceae,Drepanolejeunea,SPECIES,PRESERVED_SPECIMEN,1987-01-09,1987,-70.7,18.87,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd4485ffffff
02386d9b-a333-488e-b365-87eea8e5087c,1927802003,Rhytidophyllum grandiflorum,Rhytidophyllum grandiflorum Z.R.Xu & L.E.Skog ex Zanoni & Jiménez Rodr.,Gesneriaceae,Rhytidophyllum,SPECIES,PRESERVED_SPECIMEN,1919-04-10/1919-05-15,1919,-70.738592,18.912934,2231.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd44b5ffffff
0241d89a-60ba-4225-8351-c4833df323c0,1927799158,Ditta myricoides,Ditta myricoides Griseb.,Euphorbiaceae,Ditta,SPECIES,PRESERVED_SPECIMEN,1969-04-12,1969,-70.700014,18.833336,1876.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd448effffff
0242293e-a525-485c-8119-ea77cf54bf7e,1927799212,Bryopalisotia filiformis,Aongstroemia jamaicensis Müll. Hal.,Dicranellaceae,Bryopalisotia,SPECIES,PRESERVED_SPECIMEN,1987-01-10,1987,-70.62,18.75,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd44dcffffff
02455425-8fc3-4291-9082-a8b8f80f3a81,1927799248,Pellaea ternifolia,Pellaea ternifolia (Cav.) Link,Pteridaceae,Pellaea,SPECIES,PRESERVED_SPECIMEN,1981-04-05,1981,-70.7,18.82,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd448affffff
0261060a-c1f7-4e57-8c7c-8e8bfa8cc768,1927801224,Arenaria lanuginosa,Arenaria lanuginosa (Michx.) Rohrb.,Caryophyllaceae,Arenaria,SPECIES,PRESERVED_SPECIMEN,1969-04-12,1969,-70.605238,18.707057,2887,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd6b66ffffff
02663a4f-3ff9-446f-aae4-fa180456ccfe,1927804945,Poa annua,Poa annua L.,Poaceae,Poa,SPECIES,PRESERVED_SPECIMEN,1982-02-24,1982,-70.75,18.83,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd449effffff
02a464a5-af09-48e2-af8a-0e08db3e74a4,1927804812,Palicourea eriantha,Palicourea eriantha DC.,Rubiaceae,Palicourea,SPECIES,PRESERVED_SPECIMEN,1987-01-13,1987,-70.53,19.03,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd452effffff
02a9d444-90bc-4344-bdf1-850248912b20,1927805102,Cestrum coelophlebium,Cestrum coelophlebium O.E.Schulz,Solanaceae,Cestrum,SPECIES,PRESERVED_SPECIMEN,1910-02,1910,-70.738773,18.912805,2231.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd44b5ffffff
02cce0f1-a91c-4efb-ac6d-ed7f7cd9b9d3,1927807075,Bryum argenteum,Bryum argenteum Hedw.,Bryaceae,Bryum,SPECIES,PRESERVED_SPECIMEN,1982-05-14,1982,-70.62,18.82,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd44f0ffffff
02e95caa-934a-4755-b19b-7c7a13197127,1927808650,Rhytidophyllum grandiflorum,Rhytidophyllum grandiflorum Z.R.Xu & L.E.Skog ex Zanoni & Jiménez Rodr.,Gesneriaceae,Rhytidophyllum,SPECIES,PRESERVED_SPECIMEN,1980-04-11,1980,-70.62,18.75,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd44dcffffff
0321e266-e1e5-4b6d-a969-3eb107766a73,1927811680,Lantanopsis hoffmannii,Lantanopsis hoffmannii Urb.,Asteraceae,Lantanopsis,SPECIES,PRESERVED_SPECIMEN,1986-02-07,1986,-70.63,18.88,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd441effffff
032d3868-1b0b-4ae5-8321-83610117c4c6,1927812614,Euphorbia tuerckheimii,Euphorbia tuerckheimii Urb.,Euphorbiaceae,Euphorbia,SPECIES,PRESERVED_SPECIMEN,1983-05-16,1983,-70.67,18.83,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd448dffffff
032ef3ea-dcd6-4b13-9e68-4adfd14f2be6,1927812233,Sphaeropteris insignis,Sphaeropteris insignis (D.C.Eaton) R.M.Tryon,Cyatheaceae,Sphaeropteris,SPECIES,PRESERVED_SPECIMEN,1989-07-19,1989,-70.65,18.87,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd44adffffff
0334f813-faa4-4be3-8167-1373404e4e89,1927813069,Diplazium altissimum,Diplazium altissimum (Jenman) C.Chr.,Athyriaceae,Diplazium,SPECIES,PRESERVED_SPECIMEN,1982-02-24,1982,-70.75,18.83,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd449effffff
033ba43a-a29b-4460-a0f7-7534a5dadf4a,1927813562,Campyloneurum angustifolium,Campyloneurum angustifolium (Sw.) Fée,Polypodiaceae,Campyloneurum,SPECIES,PRESERVED_SPECIMEN,1991-10-08,1991,-70.6,18.7,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,13,02,CONSTANZA,021302,874cd6b66ffffff
