occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
0309604E-1D47-4504-A4AA-5A596762BA7C,1503214443,Eugenia pseudopsidium,Eugenia pseudopsidium Jacq.,Myrtaceae,Eugenia,SPECIES,PRESERVED_SPECIMEN,1968-08-26,1968,-70.15,19.05,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,24,01,COTUÍ,022401,874cd4121ffffff
03a84fc3-b9eb-4b44-b23b-96be0edd78cf,1927819186,Ptychomitrium indicum,Barbula indica (Willd. ex Schrad.) Spreng.,Ptychomitriaceae,Ptychomitrium,SPECIES,PRESERVED_SPECIMEN,1981-08-13,1981,-70.32,19.05,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,24,01,COTUÍ,022401,874cd4c5bffffff
06d7341b-592a-4a80-9c07-52599b22f578,1927864134,Helicodontium capillare,Helicodontium capillare (Hedw.) A. Jaeger,Brachytheciaceae,Helicodontium,SPECIES,PRESERVED_SPECIMEN,1981-08-13,1981,-70.32,19.05,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,24,01,COTUÍ,022401,874cd4c5bffffff
070b525e-15cc-4371-a5f7-4ae6f507245c,6116058320,Paepalanthus repens,Paepalanthus repens (Lam.) Körn.,Eriocaulaceae,Paepalanthus,SPECIES,PRESERVED_SPECIMEN,1986-05-23,1986,-70.35,19.03,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,24,01,COTUÍ,022401,874cd41b0ffffff
070e0c93-f074-4e47-be0e-ee9f6e5a80c0,1927867594,Urena lobata,Urena lobata L.,Malvaceae,Urena,SPECIES,PRESERVED_SPECIMEN,1981-01-29,1981,-70.32,19.05,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,24,01,COTUÍ,022401,874cd4c5bffffff
082ee873-8a15-4784-b63f-1892b7c75f41,1927883481,Triumfetta lappula,Triumfetta lappula L.,Malvaceae,Triumfetta,SPECIES,PRESERVED_SPECIMEN,1980-12-01,1980,-70.22,18.95,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,24,01,COTUÍ,022401,874cd4034ffffff
0F4162E9-4C55-4D23-8883-CAB674C19C61,122993564,Psychotria nervosa,Psychotria nervosa Sw.,Rubiaceae,Psychotria,SPECIES,PRESERVED_SPECIMEN,1981-08-19,1981,-70.3167,19.0583,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,24,01,COTUÍ,022401,874cd4c59ffffff
0ae410b8-073f-4ea0-8c5d-19d0c5a82636,1927921994,Thelypteris Schmidel,Thelypteris Schmidel,Thelypteridaceae,Thelypteris,GENUS,PRESERVED_SPECIMEN,1989-04-20,1989,-70.18,18.92,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,24,01,COTUÍ,022401,874cd4023ffffff
0b10a985-ea0e-4539-a846-b1932e27be14,1927923453,Blechnum occidentale,Blechnum occidentale L.,Blechnaceae,Blechnum,SPECIES,PRESERVED_SPECIMEN,1981-01-29,1981,-70.32,19.05,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,24,01,COTUÍ,022401,874cd4c5bffffff
0b9c905f-e739-4866-bb7e-ec7890c57f4c,1927931970,Hyptis lantanifolia,Hyptis lantanifolia Poit.,Lamiaceae,Hyptis,SPECIES,PRESERVED_SPECIMEN,1982-09-22,1982,-70.1,19.03,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,24,01,COTUÍ,022401,874cd412dffffff
0d79b17c-288f-482e-a3a0-60b07a4b9b8f,1927958014,Cyclopeltis semicordata,Cyclopeltis semicordata (Sw.) J.Sm.,Lomariopsidaceae,Cyclopeltis,SPECIES,PRESERVED_SPECIMEN,1989-04-20,1989,-70.18,18.92,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,24,01,COTUÍ,022401,874cd4023ffffff
0f090402-43fa-4778-bd43-6c16aef0bbab,1927979761,Prestoea acuminata,Prestoea acuminata var. montana (Graham) A.J.Hend. & Galeano,Arecaceae,Prestoea,VARIETY,PRESERVED_SPECIMEN,1988-06-08,1988,-70.03,18.95,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,24,01,COTUÍ,022401,874cd416effffff
0f7f44c5-5993-48de-a047-6b381a886b9d,1927986257,Campyloneurum phyllitidis,Campyloneurum phyllitidis (L.) C.Presl,Polypodiaceae,Campyloneurum,SPECIES,PRESERVED_SPECIMEN,1989-04-20,1989,-70.18,18.92,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,24,01,COTUÍ,022401,874cd4023ffffff
0fa213e4-c6aa-4ce7-ba02-b5548ede5228,1927988604,Hyptis capitata,Hyptis capitata Jacq.,Lamiaceae,Hyptis,SPECIES,PRESERVED_SPECIMEN,1981-01-29,1981,-70.32,19.05,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,24,01,COTUÍ,022401,874cd4c5bffffff
0fabb59e-5bed-448c-bff3-d6c0157e5903,1927988863,Protium balsamiferum,Tetragastris balsamifera (Sw.) Oken,Burseraceae,Protium,SPECIES,PRESERVED_SPECIMEN,1981-08-13,1981,-70.32,19.05,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,24,01,COTUÍ,022401,874cd4c5bffffff
