occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
00148cf1-cd1f-4803-87bd-f25d7d62c5d0,1988596921,Malpighia macracantha,Malpighia macracantha Urb. & Nied.,Malpighiaceae,Malpighia,SPECIES,PRESERVED_SPECIMEN,1982-09-02,1982,-70.5,19.05,NA,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,MICH,Angiosperms,28,01,BONAO,022801,874cd4cd3ffffff
004ffca8-7254-4141-a00a-c1c3f21b650c,1457743760,Hymenophyllum sericeum,Hymenophyllum sericeum (Sw.) Sw.,Hymenophyllaceae,Hymenophyllum,SPECIES,PRESERVED_SPECIMEN,1998-06-09,1998,-70.55,18.85,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,28,01,BONAO,022801,874cd440bffffff
00f383e7-bdf8-4633-b95c-cc3e3ba4e0ea,1927782268,Trachyxiphium guadalupense,Trachyxiphium guadalupense (Brid.) W.R. Buck,Callicostaceae,Trachyxiphium,SPECIES,PRESERVED_SPECIMEN,1982-04-29,1982,-70.52,19.05,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,28,01,BONAO,022801,874cd452cffffff
017b7b82-2757-4853-8331-4bfcfa017f32,3329399421,Polytaenium feei,Antrophyum lanceolatum (L.) Kaulf.,Pteridaceae,Polytaenium,SPECIES,PRESERVED_SPECIMEN,2005-02-16,2005,-70.482778,19.020833,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,28,01,BONAO,022801,874cd4cdaffffff
01a59107-2f90-4e78-ad62-2d038160102b,1056167241,Cyatheaceae Kaulf.,Cyatheaceae Kaulf.,Cyatheaceae,,FAMILY,PRESERVED_SPECIMEN,1930-04-30,1930,-70.484634,18.894446,390,7e380070-f762-11e1-a439-00145eb45e9a,NHMUK,BOT,28,01,BONAO,022801,874cd455affffff
020150ce-c809-4646-9efb-717b4ff534c8,1927796045,Cochlidium serrulatum,Cochlidium serrulatum (Sw.) L.E.Bishop,Polypodiaceae,Cochlidium,SPECIES,PRESERVED_SPECIMEN,1987-09-08,1987,-70.5,19.03,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,28,01,BONAO,022801,874cd452dffffff
020F392E-14FA-4BE5-BBB1-4A63320BF60F,1503202739,Picramnia dictyoneura,Casabitoa perfae Alain,Picramniaceae,Picramnia,SPECIES,PRESERVED_SPECIMEN,1975-05-04,1975,-70.5163,19.0403,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,28,01,BONAO,022801,874cd452cffffff
030c8aec-4ec0-4ed2-9327-78e5d9959661,1927810563,Alsophila abbottii,Alsophila abbottii (Maxon) R.M.Tryon,Cyatheaceae,Alsophila,SPECIES,PRESERVED_SPECIMEN,1982-09-02,1982,-70.5,19.05,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,28,01,BONAO,022801,874cd4cd3ffffff
031c9fab-eadc-4ffd-9361-548b5bbf5b0d,1927811169,Machaerina restioides,Machaerina restioides (Sw.) Vahl,Cyperaceae,Machaerina,SPECIES,PRESERVED_SPECIMEN,1982-09-02,1982,-70.5,19.05,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,28,01,BONAO,022801,874cd4cd3ffffff
04053646-9570-47da-abda-248ad8655984,1304204591,Solanum torvum,Solanum torvum Sw.,Solanaceae,Solanum,SPECIES,OCCURRENCE,,NA,-70.463611,19.025,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,PBI_NHM,,28,01,BONAO,022801,874cd4cd8ffffff
