occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
0070e2a1-baf0-4aab-a83d-0a41c347ae58,1927774485,Brassia caudata,Brassia caudata (L.) Lindl.,Orchidaceae,Brassia,SPECIES,PRESERVED_SPECIMEN,1981-07-28,1981,-70.35,18.87,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,28,03,PIEDRA BLANCA,022803,874cd4086ffffff
00b88b4c-a079-4477-be2b-7b26fd6007b5,1927778078,Zizkaea tuerckheimii,Vriesea tuerckheimii (Mez) L.B.Sm.,Bromeliaceae,Zizkaea,SPECIES,PRESERVED_SPECIMEN,1981-04-21,1981,-70.33,18.9,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,28,03,PIEDRA BLANCA,022803,874cd40a2ffffff
01a66c5b-5427-4876-9d8b-95cd17268311,1927792668,Gesneria hypoclada,Gesneria hypoclada Urb. & Ekman,Gesneriaceae,Gesneria,SPECIES,PRESERVED_SPECIMEN,1981-04-21,1981,-70.33,18.9,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,28,03,PIEDRA BLANCA,022803,874cd40a2ffffff
028fbd38-1b3d-41aa-ace4-98bd9ed0e204,1927803374,Diplazium striatum,Diplazium striatum (L.) C.Presl,Athyriaceae,Diplazium,SPECIES,PRESERVED_SPECIMEN,1984-08-21,1984,-70.33,18.75,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,28,03,PIEDRA BLANCA,022803,874cd4704ffffff
02a5efdf-d49b-403d-94d7-0c30ce48e74e,1927804466,Alsophila fulgens,Cyathea fulgens C.Chr.,Cyatheaceae,Alsophila,SPECIES,PRESERVED_SPECIMEN,1984-08-20,1984,-70.37,18.75,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,28,03,PIEDRA BLANCA,022803,874cd4733ffffff
0305b6d8-b991-4a8e-9e5e-25b9b939a497,1927810038,Genipa americana,Genipa americana L.,Rubiaceae,Genipa,SPECIES,PRESERVED_SPECIMEN,1981-07-28,1981,-70.35,18.87,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,28,03,PIEDRA BLANCA,022803,874cd4086ffffff
0401ff0e-d428-4d1f-be35-02b540b8bf5a,1927824073,Euphorbia hyssopifolia,Euphorbia hyssopifolia L.,Euphorbiaceae,Euphorbia,SPECIES,PRESERVED_SPECIMEN,1972-06-25,1972,-70.316942,18.844437,1926.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,28,03,PIEDRA BLANCA,022803,874cd4081ffffff
04584C75-9FC8-4D52-AB6A-65FC838DD3FF,1503210781,Heliconia bihai,Heliconia bihai (L.) L.,Heliconiaceae,Heliconia,SPECIES,PRESERVED_SPECIMEN,1982-09-03,1982,-70.3667,18.7833,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,28,03,PIEDRA BLANCA,022803,874cd4730ffffff
049549ab-87a2-403f-b13e-4b0407695e19,1927832415,Aristolochia ringens,Aristolochia ringens Vahl,Aristolochiaceae,Aristolochia,SPECIES,PRESERVED_SPECIMEN,1981-04-22,1981,-70.33,18.9,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,28,03,PIEDRA BLANCA,022803,874cd40a2ffffff
04bebb3b-9cd3-4365-ba21-e55a298e6ac3,1927835712,Polystachya foliosa,Polystachya foliosa (Hook.) Rchb.f.,Orchidaceae,Polystachya,SPECIES,PRESERVED_SPECIMEN,1981-04-21,1981,-70.33,18.9,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,28,03,PIEDRA BLANCA,022803,874cd40a2ffffff
04e0bc5d-0689-4045-8052-b9e3c0e845f9,1927837619,Miconia racemosa,Miconia racemosa (Aubl.) DC.,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,1990-04-10,1990,-70.4,18.78,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,28,03,PIEDRA BLANCA,022803,874cd444dffffff
