occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
037d4403-dc44-4176-95e5-df62ba90a80e,1927816992,Physalis angulata,Physalis angulata L.,Solanaceae,Physalis,SPECIES,PRESERVED_SPECIMEN,1994-02,1994,-69.67,19.07,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf34c4ffffff
04c171c0-9cf2-4608-8dc4-24413b50010b,1927836304,Goniopteris imitata,Thelypteris imitata (C.Chr.) Alain,Thelypteridaceae,Goniopteris,SPECIES,PRESERVED_SPECIMEN,1982-03-16,1982,-69.525,19.25,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf3562ffffff
055033af-880d-449e-bc86-04897421fc4b,1927842714,Bletia patula,Bletia patula Hook.,Orchidaceae,Bletia,SPECIES,PRESERVED_SPECIMEN,1982-03-16,1982,-69.525,19.25,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf3562ffffff
058ce8b5-fb04-4d31-8e16-1a1a2498bde1,1927846230,Epidendrum rigidum,Epidendrum rigidum Jacq.,Orchidaceae,Epidendrum,SPECIES,PRESERVED_SPECIMEN,1965-04-12,1965,-69.53846,19.22365,3921.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf3546ffffff
06049b93-6183-4c4f-bc5a-c0bb06045db3,1927853218,Fimbristylis dichotoma,Fimbristylis dichotoma (L.) Vahl,Cyperaceae,Fimbristylis,SPECIES,PRESERVED_SPECIMEN,1913-04-02,1913,-69.61151,19.230699,1061.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf3425ffffff
06e7ebaa-0875-4fb0-8007-14df37ee8701,1927865016,Amauropelta cruciata,Thelypteris sancta (L.) Ching,Thelypteridaceae,Amauropelta,SPECIES,PRESERVED_SPECIMEN,1913-04-02,1913,-69.611727,19.231018,1101.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf3425ffffff
072d0e08-4d81-4fc3-9d2d-acc93ed85cd3,1927869557,Ocimum gratissimum,Ocimum gratissimum L.,Lamiaceae,Ocimum,SPECIES,PRESERVED_SPECIMEN,1913-04-02,1913,-69.61151,19.230699,1061.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf3425ffffff
07d98b48-c30d-445a-9934-26057c759ba2,1927878763,Sarcomphalus rhodoxylon,Ziziphus rhodoxylon Urb.,Rhamnaceae,Sarcomphalus,SPECIES,PRESERVED_SPECIMEN,1985-04-24,1985,-69.63,19.08,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf34e1ffffff
08177f71-8730-42cd-a995-56223fbdbd55,1927881758,Goniopteris reptans,Thelypteris reptans (J.F.Gmel.) C.V.Morton,Thelypteridaceae,Goniopteris,SPECIES,PRESERVED_SPECIMEN,1982-03-16,1982,-69.525,19.25,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf3562ffffff
083ef5be-eeda-46fe-b817-5656e8a2824b,1927884661,Hyptis capitata,Hyptis capitata Jacq.,Lamiaceae,Hyptis,SPECIES,PRESERVED_SPECIMEN,1913-04-02,1913,-69.61151,19.230699,1061.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf3425ffffff
08fea675-540a-4ffd-8652-41cbfd1decb7,1927894789,Goniopteris domingensis,Thelypteris guadalupensis (Wikstr.) Proctor,Thelypteridaceae,Goniopteris,SPECIES,PRESERVED_SPECIMEN,1913-04-02,1913,-69.611727,19.231018,1101.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf3425ffffff
09c7b9b2-4291-41aa-9e49-331373aa65c5,1927906677,Turpinia occidentalis,Turpinia occidentalis (Sw.) G.Don,Staphyleaceae,Turpinia,SPECIES,PRESERVED_SPECIMEN,1985-04-24,1985,-69.63,19.08,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf34e1ffffff
0B5F3363-9856-4517-A936-ED1CECD33068,122966882,Laportea aestuans,Laportea aestuans (L.) Chew,Urticaceae,Laportea,SPECIES,PRESERVED_SPECIMEN,1982-03-16,1982,-69.525,19.25,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,20,02,SÁNCHEZ,032002,874cf3562ffffff
0bbca8ec-b67b-40e0-9715-abc6310d3b64,1927933372,Ichnanthus pallens,Ichnanthus pallens (Sw.) Munro ex Benth.,Poaceae,Ichnanthus,SPECIES,PRESERVED_SPECIMEN,1913-04-02,1913,-69.61151,19.230699,1061.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf3425ffffff
0dbdf3ea-6ddb-4211-b82b-fd66aed07558,1927962409,Desmodium incanum,Desmodium incanum (Sw.) DC.,Fabaceae,Desmodium,SPECIES,PRESERVED_SPECIMEN,1913-04-02,1913,-69.61151,19.230699,1061.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf3425ffffff
120e9691-13eb-4e1f-973d-19a995640617,1928022422,Begonia brachypoda,Begonia brachypoda O.E.Schulz,Begoniaceae,Begonia,SPECIES,PRESERVED_SPECIMEN,1985-04-24,1985,-69.63,19.08,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf34e1ffffff
12176880-6f7a-448a-a4ae-2df0bf8e2877,1928023691,Thuidium urceolatum,Thuidium urceolatum Lorentz,Thuidiaceae,Thuidium,SPECIES,PRESERVED_SPECIMEN,,NA,-69.612084,19.231048,1191.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf3425ffffff
13172519-b067-4963-92cc-bee1dc716b41,1928037709,Tillandsia balbisiana,Tillandsia balbisiana Schult. & Schult.f.,Bromeliaceae,Tillandsia,SPECIES,PRESERVED_SPECIMEN,1981-08-11,1981,-69.67,19.18,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf3402ffffff
13df47c9-d2fe-43ae-bb6c-39e1c364baad,1928049202,Urena procumbens,Urena sinuata L.,Malvaceae,Urena,SPECIES,PRESERVED_SPECIMEN,1913-04-02,1913,-69.61151,19.230699,1061.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf3425ffffff
1410460B-3503-400A-BE02-680F619DC052,1503218800,Sphenoclea zeylanica,Sphenoclea zeylanica Gaertn.,Sphenocleaceae,Sphenoclea,SPECIES,PRESERVED_SPECIMEN,1982-12-07,1982,-69.6333,19.2333,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,20,02,SÁNCHEZ,032002,874cf3424ffffff
143ad7ed-c374-4fa9-8c71-eec28839d676,1928052670,Piper hispidum,Piper hispidum Sw.,Piperaceae,Piper,SPECIES,PRESERVED_SPECIMEN,1995,1995,-69.67,19.07,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,02,SÁNCHEZ,032002,874cf34c4ffffff
