occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
00f07ce3-a424-458e-bd18-29bd05a7da49,1927782263,Urochloa eminii,Urochloa decumbens (Stapf) R.D.Webster,Poaceae,Urochloa,SPECIES,PRESERVED_SPECIMEN,1981-11-05,1981,-69.55,19.28,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,03,LAS TERRENAS,032003,874cf3574ffffff
0221b225-90a7-413f-987c-0686bfb504b6,1927801014,Piper marginatum,Piper marginatum Jacq.,Piperaceae,Piper,SPECIES,PRESERVED_SPECIMEN,1981-11-03,1981,-69.5083,19.3,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,03,LAS TERRENAS,032003,874cf3cddffffff
027BA06D-3794-4C69-A9BE-A1E6ED38CBC0,122924974,Coccoloba costata,Coccoloba costata C.Wright,Polygonaceae,Coccoloba,SPECIES,PRESERVED_SPECIMEN,1996-03-01,1996,-69.55,19.3167,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,20,03,LAS TERRENAS,032003,874cf3cdeffffff
03debd7d-f6c9-48c7-af5a-f25506b858d6,1927823807,Thamnobryum subseriatum,Porotrichum subseriatum (Mitt. ex Sande Lac.) Mitt.,Neckeraceae,Thamnobryum,SPECIES,PRESERVED_SPECIMEN,1981-11-03,1981,-69.5083,19.3,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,03,LAS TERRENAS,032003,874cf3cddffffff
050fc423-4201-4bc4-a19e-a85be79ded71,1927838900,Entodontopsis cultelliformis,Eulacophyllum cultelliforme (Sull.) W.R. Buck & Ireland,Stereophyllaceae,Entodontopsis,SPECIES,PRESERVED_SPECIMEN,1982-05-18,1982,-69.47,19.3,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,03,LAS TERRENAS,032003,874cf3cc8ffffff
069f864a-aaaf-47d2-9268-15987f7cbd44,1927861123,Borreria remota,Spermacoce remota Lam.,Rubiaceae,Borreria,SPECIES,PRESERVED_SPECIMEN,1981-11-04,1981,-69.52,19.32,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,03,LAS TERRENAS,032003,874cf3cc3ffffff
06c104d9-bb12-4868-8916-68e1081d137a,1927863231,Peperomia serpens,Peperomia serpens (Sw.) G.Don,Piperaceae,Peperomia,SPECIES,PRESERVED_SPECIMEN,1981-11-03,1981,-69.5083,19.3,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,03,LAS TERRENAS,032003,874cf3cddffffff
07720f7b-0200-449f-8e76-250ea63256af,3416731699,Thuidium cymbifolium,Thuidium cymbifoliolum (Müll. Hal.) Paris,Thuidiaceae,Thuidium,SPECIES,PRESERVED_SPECIMEN,1909-10-23,1909,-69.5685,19.2625,4030,6cfce8da-c177-4790-b038-1202dd33e9d7,CINC,,20,03,LAS TERRENAS,032003,874cf3572ffffff
07e88d56-0a54-44d1-ad02-d47e5c46f3e4,1927879192,Fissidens petrophilus,Fissidens petrophilus Sull.,Fissidentaceae,Fissidens,SPECIES,PRESERVED_SPECIMEN,1981-11-03,1981,-69.5083,19.3,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,03,LAS TERRENAS,032003,874cf3cddffffff
09ced4dd-405d-4b49-af04-2b3b24613c35,1927906187,Piper umbellatum,Piper umbellatum L.,Piperaceae,Piper,SPECIES,PRESERVED_SPECIMEN,1981-11-03,1981,-69.5083,19.3,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,20,03,LAS TERRENAS,032003,874cf3cddffffff
