occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
00314229-93fc-4c28-84d4-1262dd8e1887,1304607793,Solanum tetramerum,Solanum aquartia Dunal,Solanaceae,Solanum,SPECIES,OCCURRENCE,1985-08-21,1985,-71.25,19.733333,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,Bioversity,,15,03,GUAYUBÍN,041503,874c89c08ffffff
0120C2E2-07F7-404A-B769-C0D1F6B2D343,122964858,Lantana L.,Lantana L.,Verbenaceae,Lantana,GENUS,PRESERVED_SPECIMEN,1983-02-19,1983,-71.4,19.7333,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,15,03,GUAYUBÍN,041503,874c89c85ffffff
0167be9b-ab98-4134-b422-3c18f82c4579,1988601671,Mascagnia paniculata,Mascagnia paniculata (Mill.) W.R.Anderson & C.Davis,Malpighiaceae,Mascagnia,SPECIES,PRESERVED_SPECIMEN,1980-05-21,1980,-71.316667,19.733333,NA,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,MICH,Angiosperms,15,03,GUAYUBÍN,041503,874c89c18ffffff
07ac9d25-f1a1-40d1-9e41-e29beb009e10,1927875925,Pseudalbizzia berteroana,Albizia berteroana (Balb. ex DC.) Fawc. & Rendle,Fabaceae,Pseudalbizzia,SPECIES,PRESERVED_SPECIMEN,1984-10-04,1984,-71.4,19.73,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,15,03,GUAYUBÍN,041503,874c89c85ffffff
07daf791-a9ff-412a-bc9e-5a11a3c9d638,1927877894,Sida cordifolia,Sida cordifolia L.,Malvaceae,Sida,SPECIES,PRESERVED_SPECIMEN,1985-12-05,1985,-71.2917,19.82,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,15,03,GUAYUBÍN,041503,874c89c35ffffff
0927EF11-C170-4A9A-85DA-A303EEA8999B,122947429,Exostema caribaeum,Exostema caribaeum (Jacq.) Roem. & Schult.,Rubiaceae,Exostema,SPECIES,PRESERVED_SPECIMEN,1980-03-21,1980,-71.3333,19.6167,3036,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,15,03,GUAYUBÍN,041503,874c89cdeffffff
0982f70b-7a28-4af7-90c0-d9f995a92f18,1927901858,Talinum paniculatum,Talinum paniculatum (Jacq.) Gaertn.,Talinaceae,Talinum,SPECIES,PRESERVED_SPECIMEN,1980-05-21,1980,-71.32,19.73,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,15,03,GUAYUBÍN,041503,874c89c1affffff
0987fb34-eb1f-4ce0-b55b-44a7e15a9de1,1927902338,Talinum fruticosum,Talinum fruticosum (L.) Juss.,Talinaceae,Talinum,SPECIES,PRESERVED_SPECIMEN,1981-11-10,1981,-71.33,19.7,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,15,03,GUAYUBÍN,041503,874c89cf4ffffff
0E1C9706-7FC9-4571-A15A-8DF45021576C,1503268696,Harrisia divaricata,Harrisia divaricata (Lam.) Backeb.,Cactaceae,Harrisia,SPECIES,PRESERVED_SPECIMEN,2012-10-04,2012,-71.3294,19.6961,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,15,03,GUAYUBÍN,041503,874c89cf0ffffff
0ebb9de3-d5b6-43f6-bb40-8dcb537f3866,1927975380,Euphorbia turpinii,Euphorbia turpinii Boiss.,Euphorbiaceae,Euphorbia,SPECIES,PRESERVED_SPECIMEN,1969-06-23,1969,-71.393852999999993,19.672426,1311.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,15,03,GUAYUBÍN,041503,874c89c8bffffff
