occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
00157adc-3937-4add-8932-8b3c98ae2550,1927769294,Epidendrum swartzii,Epidendrum strobiliferum var. swartzii Rchb.f. ex Griseb.,Orchidaceae,Epidendrum,VARIETY,PRESERVED_SPECIMEN,1986-09-04,1986,-70.92,18.3083,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,01,AZUA,050201,874cd6202ffffff
004745e8-41fd-4eb2-bf5a-4fce4f94f537,1927771831,Epidendrum strobiliferum,Epidendrum strobiliferum Rchb.f.,Orchidaceae,Epidendrum,SPECIES,PRESERVED_SPECIMEN,1987-02-23,1987,-70.93,18.3,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,01,AZUA,050201,874cd6211ffffff
00674ade-dfda-443b-ba7d-a083c546e232,1457743844,Miconia pyramidalis,Miconia pyramidalis (Desr.) DC.,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,1987-02-23,1987,-70.933333,18.3,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,02,01,AZUA,050201,874cd621effffff
007cacab-7d93-4885-86e1-02a65c361b01,1927776599,Serjania seriana,Serjania sinuata Schumach.,Sapindaceae,Serjania,SPECIES,PRESERVED_SPECIMEN,1987-02-24,1987,-70.92,18.32,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,01,AZUA,050201,874cd6202ffffff
01142ec1-29da-44c4-a867-5029bafa61d2,1927783317,Solanum polyacanthos,Solanum polyacanthos Lam.,Solanaceae,Solanum,SPECIES,PRESERVED_SPECIMEN,1980-04-30,1980,-70.9,18.3,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,01,AZUA,050201,874cd6203ffffff
0135d524-67dc-4501-8539-1fd4fc9cc0aa,1927785239,Guapira Aubl.,Guapira Aubl.,Nyctaginaceae,Guapira,GENUS,PRESERVED_SPECIMEN,1984-11-16,1984,-70.92,18.27,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,01,AZUA,050201,874cd621bffffff
0141c5bf-1415-4bb2-a8b8-188c9374ed56,1927785568,Digenea simplex,Digenea simplex (Wulfen) C. Agardh,Rhodomelaceae,Digenea,SPECIES,PRESERVED_SPECIMEN,1976-06-27,1976,-70.836436,18.35073,1791.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,01,AZUA,050201,874cd6352ffffff
01e0097d-4873-4839-bd73-2386dac39d11,1927794138,Ficus citrifolia,Ficus citrifolia Mill.,Moraceae,Ficus,SPECIES,PRESERVED_SPECIMEN,1986-09-03,1986,-70.93,18.32,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,01,AZUA,050201,874cd6215ffffff
0209a43a-de7a-4785-95cc-f01ad907d43e,1927796844,Bourreria virgata,Bourreria virgata (Sw.) G.Don,Ehretiaceae,Bourreria,SPECIES,PRESERVED_SPECIMEN,1913-03,1913,-70.732288,18.452356,2731.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,01,AZUA,050201,874cd6aceffffff
023d6fd4-cecf-42cb-b25e-f733352de9f3,4110151307,Vachellia cucuyo,Vachellia cucuyo (Barneby & Zanoni) Seigler & Ebinger,Fabaceae,Vachellia,SPECIES,PRESERVED_SPECIMEN,1987-02-23,1987,-70.933333,18.3,NA,cd096ec0-a8a0-4c65-92cc-48b00fb934ce,TEX,TEX,02,01,AZUA,050201,874cd621effffff
02a62c3b-1f6d-4b65-b805-504a40dc5809,1927804679,Senegalia angustifolia,Senegalia angustifolia (Lam.) Britton & Rose,Fabaceae,Senegalia,SPECIES,PRESERVED_SPECIMEN,1985-11-12,1985,-70.9,18.28,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,01,AZUA,050201,874cd621dffffff
02f53488-ef63-4158-a259-2d58e623ce6a,1927808878,Miconia elaeagnoides,Miconia elaeagnoides (Sw.) Griseb.,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,2006-06-06,2006,-70.94461,18.31828,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,01,AZUA,050201,874cd6210ffffff
042e0307-b2ed-4666-a9d8-2045539e9e2b,1927826650,Polystachya foliosa,Polystachya foliosa (Hook.) Rchb.f.,Orchidaceae,Polystachya,SPECIES,PRESERVED_SPECIMEN,1987-02-23,1987,-70.93,18.3,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,01,AZUA,050201,874cd6211ffffff
