occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
00F762B0-59AA-44A4-A2BA-4D430A2D4598,122974947,Myrcianthes fragrans,Myrcianthes fragrans (Sw.) McVaugh,Myrtaceae,Myrcianthes,SPECIES,PRESERVED_SPECIMEN,1986-08-01,1986,-70.5806,18.4,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,02,02,LAS CHARCAS,050202,874cd0da8ffffff
02cb9498-625a-4925-9867-d1272f7cb7a7,4079747952,Denisophytum rosei,Denisophytum rosei (Urb.) Gagnon & G.P.Lewis,Fabaceae,Denisophytum,SPECIES,PRESERVED_SPECIMEN,1957-08-05,1957,-70.544074,18.353935,1258,3b040a48-deae-485c-95b1-2ac80b7fdc54,IIBZ,USD,02,02,LAS CHARCAS,050202,874cd0c30ffffff
03B387DAFFC61F56FF50FF27FCD18C7A.mc.3B723C91FFC61F56FA88FF26FDAB893F,4418891372,Coccothrinax landestoyi,"Coccothrinax landestoyii Henderson, Fernandez & Bacon",Arecaceae,Coccothrinax,SPECIES,MATERIAL_CITATION,2022-01-26,2022,-70.566666,18.466667,NA,143c8e81-3541-4298-b233-d3ce4e79d26c,"T, M, E, JBSD, NY",,02,02,LAS CHARCAS,050202,874cd6a49ffffff
03C88798FFAB2251FF1B76FE609A3EE7.mc.3B093CD3FFA82250FDB2740166843996,4406508323,Bouteloua juncea,Bouteloua juncea (Desv. ex P.Beauv.) Hitchc.,Poaceae,Bouteloua,SPECIES,MATERIAL_CITATION,2018-06-19,2018,-70.53142,18.4,NA,79245429-948f-4c7f-bff9-b98ecb35c448,"JBSD, HUAA, USON",,02,02,LAS CHARCAS,050202,874cd0d1affffff
051b696a-7e7f-4b7c-9a4b-1a8b0afce14c,1927839954,Trichospira verticillata,Trichospira verticillata (L.) S.F.Blake,Asteraceae,Trichospira,SPECIES,PRESERVED_SPECIMEN,1980-10-31,1980,-70.58,18.42,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,02,LAS CHARCAS,050202,874cd0dacffffff
055b41ea-d0aa-4e73-b0fb-cdd961b91fe9,1927843135,Heliotropium curassavicum,Heliotropium curassavicum L.,Heliotropiaceae,Heliotropium,SPECIES,PRESERVED_SPECIMEN,1980-10-31,1980,-70.58,18.42,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,02,LAS CHARCAS,050202,874cd0dacffffff
07A5D4E1A819510FAE538E3B01B25B73.mc.BD5E21F4B9CABE6F8FC1CB20146CF14D,4988781302,Salvia claseana,Salvia claseana Fragoso & Salazar,Lamiaceae,Salvia,SPECIES,MATERIAL_CITATION,2014-05-09,2014,-70.53091,18.360678,NA,f1472a5d-dc3b-455a-ae0e-170605c57f63,"JBSD, MEXU",,02,02,LAS CHARCAS,050202,874cd0c30ffffff
07A5D4E1A819510FAE538E3B01B25B73.mc.EFB7812B0302E6BC919D7C5ABDA27FED,4988781304,Salvia claseana,Salvia claseana Fragoso & Salazar,Lamiaceae,Salvia,SPECIES,MATERIAL_CITATION,2016-11-28,2016,-70.53106,18.350254,NA,f1472a5d-dc3b-455a-ae0e-170605c57f63,"I, G, A, T",,02,02,LAS CHARCAS,050202,874cd0c31ffffff
0944dd94-e779-4120-9651-924faf144d70,1927899643,Exostema caribaeum,Exostema caribaeum (Jacq.) Roem. & Schult.,Rubiaceae,Exostema,SPECIES,PRESERVED_SPECIMEN,1983-07-27,1983,-70.6,18.47,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,02,LAS CHARCAS,050202,874cd0da4ffffff
0b4eb25c-41e2-4939-a9c6-fd873ceb879c,1927927392,Abutilon abutiloides,Abutilon abutiloides (Jacq.) Garcke,Malvaceae,Abutilon,SPECIES,PRESERVED_SPECIMEN,1991-10-03,1991,-70.499253,18.354933,2783,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,02,LAS CHARCAS,050202,874cd0c22ffffff
0c825c1e-88fe-49b0-81b6-00680eb2aa8c,1927943969,Miconia macrocarpa,Tetrazygia urbaniana (Cogn. ex Urb.) Croizat ex Moscoso,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,1985-04-14,1985,-70.53,18.45,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,02,LAS CHARCAS,050202,874cd0d15ffffff
0d6abe67-1a43-4026-a336-27b8e0009a99,1927957092,Trichilia aquifolia,Trichilia aquifolia P.Wilson,Meliaceae,Trichilia,SPECIES,PRESERVED_SPECIMEN,1983-02-22,1983,-70.53,18.38,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,02,LAS CHARCAS,050202,874cd0c34ffffff
0f50ef32-49a4-41d1-8d4a-f94315fb2fc8,4911266303,Conocarpus erectus,Conocarpus erectus L.,Combretaceae,Conocarpus,SPECIES,PRESERVED_SPECIMEN,1980-08-07,1980,-70.589196,18.290395,250,453e3294-97ef-4e1c-87cb-1ef7c5351d8e,DEK,,02,02,LAS CHARCAS,050202,874cd0cacffffff
15d5c4fa-34fe-4162-bb16-1d48f4f89164,1928076057,Consolea moniliformis,Consolea moniliformis subsp. moniliformis,Cactaceae,Consolea,SUBSPECIES,PRESERVED_SPECIMEN,1984-05-23,1984,-70.62,18.4417,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,02,LAS CHARCAS,050202,874cd0da2ffffff
160e519b-c719-4ed6-8ac2-8df840de653a,1928079010,Tephrosia purpurea,Tephrosia purpurea subsp. purpurea,Fabaceae,Tephrosia,SUBSPECIES,PRESERVED_SPECIMEN,1983-02-22,1983,-70.53,18.38,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,02,LAS CHARCAS,050202,874cd0c34ffffff
16f411be-72d7-496c-9b12-7f0c9f002709,1928092677,Waltheria indica,Waltheria indica L.,Malvaceae,Waltheria,SPECIES,PRESERVED_SPECIMEN,1991-10-03,1991,-70.499253,18.354933,2783,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,02,LAS CHARCAS,050202,874cd0c22ffffff
18224be5-4a83-4a09-805a-356035009348,1928107898,Corchorus aestuans,Corchorus aestuans L.,Malvaceae,Corchorus,SPECIES,PRESERVED_SPECIMEN,1984-10-01,1984,-70.62,18.47,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,02,LAS CHARCAS,050202,874cd6a59ffffff
193ea24e-e958-46ee-87dd-8d5653445a7a,1928124895,Senna alexandrina,Senna alexandrina Mill.,Fabaceae,Senna,SPECIES,PRESERVED_SPECIMEN,1980-10-31,1980,-70.6083,18.43,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,02,LAS CHARCAS,050202,874cd0da3ffffff
1EFE2B28-1DD7-4564-AC01-C253E19DDAA6,1503261728,Harrisia divaricata,Harrisia divaricata (Lam.) Backeb.,Cactaceae,Harrisia,SPECIES,PRESERVED_SPECIMEN,2010-09-23,2010,-70.57,18.3658,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,02,02,LAS CHARCAS,050202,874cd0d8dffffff
1f8242d1-8fa3-4d24-83d7-cd8b981ebbd1,1928215306,Amyris elemifera,Amyris elemifera L.,Rutaceae,Amyris,SPECIES,PRESERVED_SPECIMEN,1985-07-24,1985,-70.6,18.47,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,02,LAS CHARCAS,050202,874cd0da4ffffff
23d0cbd2-1452-4d31-810c-f0002547682a,1928275586,Erythroxylum rufum,Erythroxylum rufum Cav.,Erythroxylaceae,Erythroxylum,SPECIES,PRESERVED_SPECIMEN,1983-05-30,1983,-70.6,18.47,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,02,LAS CHARCAS,050202,874cd0da4ffffff
254314b7-c86a-4f69-8d08-f84e89d354f4,1928296276,Vachellia macracantha,Vachellia macracantha (Humb. & Bonpl. ex Willd.) Seigler & Ebinger,Fabaceae,Vachellia,SPECIES,PRESERVED_SPECIMEN,1983-02-22,1983,-70.53,18.38,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,02,LAS CHARCAS,050202,874cd0c34ffffff
2998b2c8-f66e-41fd-971e-4ae736be5340,1302658010,Gossypium hirsutum,Gossypium hirsutum L.,Malvaceae,Gossypium,SPECIES,OCCURRENCE,1601-01-01,1601,-70.5919,18.4203,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,Coppens,,02,02,LAS CHARCAS,050202,874cd0daeffffff
2A6E037D-803E-4453-BA5F-CBA596C69DDC,122927823,Colubrina elliptica,Colubrina elliptica (Sw.) Brizicky & W.L.Stern,Rhamnaceae,Colubrina,SPECIES,PRESERVED_SPECIMEN,1984-06-20,1984,-70.475,18.4167,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,02,02,LAS CHARCAS,050202,874cd0d0effffff
2de39684-c943-4e7a-a367-9fb3a456fcde,1928418713,Rochefortia acanthophora,Rochefortia acanthophora (DC.) Griseb.,Ehretiaceae,Rochefortia,SPECIES,PRESERVED_SPECIMEN,1984-07-05,1984,-70.62,18.43,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,02,LAS CHARCAS,050202,874cd0da2ffffff
2f01888a-95e1-4745-98d4-2817985c0ec1,1928435074,Dinebra panicea,Leptochloa panicea subsp. brachiata (Steud.) N.Snow,Poaceae,Dinebra,SUBSPECIES,PRESERVED_SPECIMEN,1984-07-14,1984,-70.58,18.42,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,02,LAS CHARCAS,050202,874cd0dacffffff
2f5fd1b0-8457-4512-a561-b8e8ca7c6d5e,2270671387,Eugenia foetida,Eugenia foetida Pers.,Myrtaceae,Eugenia,SPECIES,PRESERVED_SPECIMEN,1984-08-29,1984,-70.5,18.3583,NA,e05fd4c2-4d77-4c50-880e-1b22096af300,ASU,Plants,02,02,LAS CHARCAS,050202,874cd0c22ffffff
312a1747-071e-4c17-b16c-f41d2f44555e,4872676788,Quadrella ferruginea,Morisonia ferruginea (L.) Christenh. & Byng,Capparaceae,Quadrella,SPECIES,PRESERVED_SPECIMEN,1980-03-12,1980,-70.542967,18.439704,3500,453e3294-97ef-4e1c-87cb-1ef7c5351d8e,DEK,,02,02,LAS CHARCAS,050202,874cd0d10ffffff
