occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
00695d4c-65be-45dc-bcc4-f1bb82c0a76c,1927775300,Exostema nitens,Exostema nitens Urb.,Rubiaceae,Exostema,SPECIES,PRESERVED_SPECIMEN,1993-08-11,1993,-70.67,18.58,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,10,ESTEBANÍA,050210,874cd6a76ffffff
02620736-04eb-46ca-aad2-b09a3b693f85,1927801209,Peperomia tetraphylla,Peperomia tetraphylla (G.Forst.) Hook. & Arn.,Piperaceae,Peperomia,SPECIES,PRESERVED_SPECIMEN,1892-07-29,1892,-70.72,18.63,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,10,ESTEBANÍA,050210,874cd6a23ffffff
03595a84-c20b-40d1-a698-d5aab9f6b6b5,1927815208,Dolichandra unguis-cati,Dolichandra unguis-cati (L.) L.G.Lohmann,Bignoniaceae,Dolichandra,SPECIES,PRESERVED_SPECIMEN,1982-07-22,1982,-70.592,18.508,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,10,ESTEBANÍA,050210,874cd6a4cffffff
03a0e6ea-517b-4b9a-8860-65d26a159dc5,1927819418,Myrcianthes fragrans,Myrcianthes fragrans (Sw.) McVaugh,Myrtaceae,Myrcianthes,SPECIES,PRESERVED_SPECIMEN,1980-09-19,1980,-70.68,18.62,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,10,ESTEBANÍA,050210,874cd6a28ffffff
0649d968-0cf6-45c6-a96c-796aff67a0c0,1927856539,Casearia dodecandra,Samyda dodecandra Jacq.,Salicaceae,Casearia,SPECIES,PRESERVED_SPECIMEN,1982-07-22,1982,-70.57,18.52,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,10,ESTEBANÍA,050210,874cd6a6affffff
064e41c0-9605-4fbf-b041-544fe760038c,2270674452,Eugenia biflora,Eugenia biflora (L.) DC.,Myrtaceae,Eugenia,SPECIES,PRESERVED_SPECIMEN,1982-07-22,1982,-70.5833,18.5,NA,e05fd4c2-4d77-4c50-880e-1b22096af300,ASU,Plants,02,10,ESTEBANÍA,050210,874cd6a4cffffff
0721a2a2-c639-4e6c-870b-341fc7aee294,1927868761,Echites umbellatus,Echites umbellatus Jacq.,Apocynaceae,Echites,SPECIES,PRESERVED_SPECIMEN,1982-07-22,1982,-70.592,18.508,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,10,ESTEBANÍA,050210,874cd6a4cffffff
076396b8-3077-4124-9fc0-9e8ea9b48961,1927873516,Ternstroemia peduncularis,Ternstroemia peduncularis DC.,Pentaphylacaceae,Ternstroemia,SPECIES,PRESERVED_SPECIMEN,1980-09-19,1980,-70.68,18.62,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,10,ESTEBANÍA,050210,874cd6a28ffffff
08ef700b-3289-4e55-b538-7b89858c8153,1927893965,Ipomoea luteoviridis,Ipomoea luteoviridis Ekman & Leonard,Convolvulaceae,Ipomoea,SPECIES,PRESERVED_SPECIMEN,1983-05-17,1983,-70.68,18.62,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,10,ESTEBANÍA,050210,874cd6a28ffffff
09d1dfa6-4e6a-49b4-b0ed-880707e63f09,1927906525,Gynerium sagittatum,Gynerium sagittatum (Aubl.) P.Beauv.,Poaceae,Gynerium,SPECIES,PRESERVED_SPECIMEN,1982-07-28,1982,-70.72,18.63,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,10,ESTEBANÍA,050210,874cd6a23ffffff
0a4da9a4-b058-4840-9677-1a807fa19df8,1927913095,Myriopus stenophyllus,Myriopus stenophyllus (Urb.) Feuillet,Heliotropiaceae,Myriopus,SPECIES,PRESERVED_SPECIMEN,1983-05-31,1983,-70.67,18.45,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,10,ESTEBANÍA,050210,874cd0db0ffffff
0e0a6fbd-aab4-4f10-ac3a-bea32cb8fe71,1927965957,Euphorbia cyathophora,Euphorbia cyathophora Murray,Euphorbiaceae,Euphorbia,SPECIES,PRESERVED_SPECIMEN,1983-05-17,1983,-70.68,18.62,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,10,ESTEBANÍA,050210,874cd6a28ffffff
11152d1a-33a9-4cc5-a8f5-25d94b92c9a5,1928008515,Palicourea alpina,Palicourea alpina (Sw.) DC.,Rubiaceae,Palicourea,SPECIES,PRESERVED_SPECIMEN,1892-07-29,1892,-70.72,18.63,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,10,ESTEBANÍA,050210,874cd6a23ffffff
13ae6749-7211-43cd-a818-aa157c737429,1928045502,Wedelia reticulata,Wedelia reticulata DC.,Asteraceae,Wedelia,SPECIES,PRESERVED_SPECIMEN,1982-07-22,1982,-70.592,18.508,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,02,10,ESTEBANÍA,050210,874cd6a4cffffff
