occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
00246da0-2108-4a18-bf11-c26300793fa8,5052158476,Coccoloba incrassata,Coccoloba incrassata Urb.,Polygonaceae,Coccoloba,SPECIES,PRESERVED_SPECIMEN,1981-07-22,1981,-70.5,18.5,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,31,01,SAN JOSÉ DE OCOA,053101,874cd0d26ffffff
003f69c4-075f-4c51-bf5a-32a8fb7fb322,1927772206,Miconia pyramidalis,Miconia pyramidalis (Desr.) DC.,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,1991-04-21,1991,-70.47,18.62,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,31,01,SAN JOSÉ DE OCOA,053101,874cd46a6ffffff
00e6fed1-5c92-44ff-abf0-f50f8319f049,1927780922,Mangifera indica,Mangifera indica L.,Anacardiaceae,Mangifera,SPECIES,PRESERVED_SPECIMEN,1980-06-26,1980,-70.5383,18.5317,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,31,01,SAN JOSÉ DE OCOA,053101,874cd6a6dffffff
00f04a84-7fd5-4051-9a59-655175d7b19f,1927782292,Paepalanthus repens,Paepalanthus repens (Lam.) Körn.,Eriocaulaceae,Paepalanthus,SPECIES,PRESERVED_SPECIMEN,1980-11-12,1980,-70.5917,18.6083,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,31,01,SAN JOSÉ DE OCOA,053101,874cd6b4affffff
0108a269-6f73-4b8f-abe0-9830e07e16d4,1998306376,Polystachya concreta,Polystachya concreta (Jacq.) Garay & H.R.Sweet,Orchidaceae,Polystachya,SPECIES,PRESERVED_SPECIMEN,1981-11-26,1981,-70.4,18.5,NA,861e6afe-f762-11e1-a439-00145eb45e9a,GH,GH,31,01,SAN JOSÉ DE OCOA,053101,874cd46d5ffffff
0182e831-baaf-4132-88e5-d90ae45d4570,4079747683,Pitcairnia fuertesii,Pitcairnia fuertesii Mez,Bromeliaceae,Pitcairnia,SPECIES,PRESERVED_SPECIMEN,1978-07-13,1978,-70.483507,18.536797,390,3b040a48-deae-485c-95b1-2ac80b7fdc54,IIBZ,USD,31,01,SAN JOSÉ DE OCOA,053101,874cd469dffffff
0188b3d3-066e-4eff-bddf-dad50c967a0f,1927790109,Calliandra haematomma,Calliandra haematomma var. haematomma,Fabaceae,Calliandra,VARIETY,PRESERVED_SPECIMEN,1981-03-20,1981,-70.53,18.53,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,31,01,SAN JOSÉ DE OCOA,053101,874cd469affffff
0197862c-f50a-4332-b1d0-999f2cdbe190,1927790554,Asplenium cuneatum,Asplenium cuneatum Lam.,Aspleniaceae,Asplenium,SPECIES,PRESERVED_SPECIMEN,1982-07-06,1982,-70.42,18.53,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,31,01,SAN JOSÉ DE OCOA,053101,874cd468dffffff
01fb7cb3-2e4f-438d-8a5b-8f113d23da80,1927798093,Asplenium dimidiatum,Asplenium dimidiatum Sw.,Aspleniaceae,Asplenium,SPECIES,PRESERVED_SPECIMEN,1984-06-21,1984,-70.48,18.57,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,31,01,SAN JOSÉ DE OCOA,053101,874cd4680ffffff
0214a393-8529-404d-b713-2f786eab6287,1927797223,Mikania lepidophora,Mikania lepidophora Urb.,Asteraceae,Mikania,SPECIES,PRESERVED_SPECIMEN,1987-08-14,1987,-70.47,18.52,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,31,01,SAN JOSÉ DE OCOA,053101,874cd468affffff
