occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
00f8abb3-12ec-45ce-adc7-2a5cdb29343c,1927782673,Polytrichum juniperinum,Polytrichum juniperinum Hedw.,Polytrichaceae,Polytrichum,SPECIES,PRESERVED_SPECIMEN,1982-02-15,1982,-71.225,18.125,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,02,CABRAL,060402,874cd2994ffffff
01d7b3b3-f0bd-4798-9e74-a7c0f72d6a65,1990698166,Adiantum melanoleucum,Adiantum melanoleucum Willd.,Pteridaceae,Adiantum,SPECIES,PRESERVED_SPECIMEN,1911-08,1911,-71.25,18.1667,NA,9f747cff-839f-4485-83a1-f10317a92a82,F,Botany,04,02,CABRAL,060402,874cd66cdffffff
01fffda3-2c0d-461f-b095-d885e3f46fab,4111425303,Canavalia nitida,Canavalia nitida (Cav.) Piper,Fabaceae,Canavalia,SPECIES,PRESERVED_SPECIMEN,2019-05-13,2019,-71.2661,18.1741,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,04,02,CABRAL,060402,874cd66ccffffff
03843901-fb88-4e38-823c-7cdf30811578,4116709644,Cyperus unioloides,Cyperus unioloides R.Br.,Cyperaceae,Cyperus,SPECIES,PRESERVED_SPECIMEN,1911-10,1911,-71.216765,18.249917,398,5a2b4f54-fba7-473d-ab85-226e2bb9f5ec,IIBZ,USD,04,02,CABRAL,060402,874cd6654ffffff
04f3134b-eff6-4699-964f-e93c4ac03709,2597500982,Selaginella heterodonta,Selaginella heterodonta Hieron. ex Urb.,Selaginellaceae,Selaginella,SPECIES,PRESERVED_SPECIMEN,1911-03,1911,-71.25,18.1667,NA,9f747cff-839f-4485-83a1-f10317a92a82,F,Botany,04,02,CABRAL,060402,874cd66cdffffff
05a3d60b-7ff3-445f-bf20-d90946a908fc,1927847633,Odontosoria scandens,Odontosoria scandens (Desv.) C.Chr.,Lindsaeaceae,Odontosoria,SPECIES,PRESERVED_SPECIMEN,1986-01-18,1986,-71.225,18.125,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,02,CABRAL,060402,874cd2994ffffff
071E5B6D-1359-493E-8038-435941B80AC6,1657211997,Euphorbia prostrata,Euphorbia prostrata Aiton,Euphorbiaceae,Euphorbia,SPECIES,PRESERVED_SPECIMEN,1970-05-01,1970,-71.25,18.1667,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,04,02,CABRAL,060402,874cd66cdffffff
0856890e-7f2b-4250-8870-026b8b37e571,1457746579,Miconia subcompressa,Miconia subcompressa subsp. beverlyana Judd,Melastomataceae,Miconia,SUBSPECIES,PRESERVED_SPECIMEN,1985-10-18,1985,-71.225,18.125,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,04,02,CABRAL,060402,874cd2994ffffff
09a661e9-9afd-4bf8-bc07-e299999cd32d,1927904310,Thelypteris Schmidel,Thelypteris Schmidel,Thelypteridaceae,Thelypteris,GENUS,PRESERVED_SPECIMEN,1988-05-18,1988,-71.22,18.17,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,02,CABRAL,060402,874cd29b6ffffff
0a34c26c-80c5-4441-a295-ce6c7f17e1c8,1927912485,Calyptronoma rivalis,Calyptronoma rivalis (O.F.Cook) L.H.Bailey,Arecaceae,Calyptronoma,SPECIES,PRESERVED_SPECIMEN,1988-04-20,1988,-71.25,18.2,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,02,CABRAL,060402,874cd66e8ffffff
