occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
01f8b2aa-7ab7-4f44-b8fd-71ad36134df2,1927795022,Picardaea cubensis,Picardaea cubensis (Griseb.) Britton ex Urb.,Rubiaceae,Picardaea,SPECIES,PRESERVED_SPECIMEN,1985-01-17,1985,-71.22,17.97,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,03,ENRIQUILLO,060403,874cd2891ffffff
0258dd10-2a09-43fa-8f96-dc2ecb11c7fc,1927800494,Rhynchosia phaseoloides,Rhynchosia phaseoloides (Sw.) DC.,Fabaceae,Rhynchosia,SPECIES,PRESERVED_SPECIMEN,1985-01-16,1985,-71.22,17.97,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,03,ENRIQUILLO,060403,874cd2891ffffff
0318e570-0e37-4b00-a3cf-4d4ff1e71fa9,3329398799,Miconia vegaensis,"Miconia vegaensis (Cogn.) Judd, Bécquer & Majure",Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,2016-02-03,2016,-71.24179,17.96543,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,04,03,ENRIQUILLO,060403,874cd2893ffffff
031a71ff-7558-4274-a8c2-14b53e1a5a41,1927811729,Croton polytomus,Croton koehneanus Urb.,Euphorbiaceae,Croton,SPECIES,PRESERVED_SPECIMEN,1911-07,1911,-71.236568,17.897527,1201.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,03,ENRIQUILLO,060403,874cd2130ffffff
03644694-adbc-451b-9bf8-84bb0740a61d,1927815851,Heliotropium glabrum,Tournefortia glabra L.,Heliotropiaceae,Heliotropium,SPECIES,PRESERVED_SPECIMEN,1985-01-17,1985,-71.22,17.97,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,03,ENRIQUILLO,060403,874cd2891ffffff
038e3ff0-a797-44f6-abaf-c96a4486218b,1927818101,Ruellia coccinea,Ruellia coccinea (L.) Vahl,Acanthaceae,Ruellia,SPECIES,PRESERVED_SPECIMEN,1981-12-04,1981,-71.3,18.05,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,03,ENRIQUILLO,060403,874cd2d43ffffff
039f6db0-98e6-4bc2-9c24-5281c26dea42,1927818917,Croton sidifolius,Croton sidifolius Lam.,Euphorbiaceae,Croton,SPECIES,PRESERVED_SPECIMEN,1983-09-04,1983,-71.215434,17.942286,3.64,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,03,ENRIQUILLO,060403,874cd2898ffffff
040cb915-5db0-411e-963f-d35f4631c2e7,1927825746,Dicliptera obtusifolia,Dicliptera obtusifolia Urb.,Acanthaceae,Dicliptera,SPECIES,PRESERVED_SPECIMEN,1969-02-27,1969,-71.284747,18.032517,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,03,ENRIQUILLO,060403,874cd2d48ffffff
04441bdb-2d58-4abc-b6c2-a2e2f9ef22b5,5029135449,Tilesia baccata,Tilesia baccata (L.) Pruski,Asteraceae,Tilesia,SPECIES,PRESERVED_SPECIMEN,2023-01-28,2023,-71.2305,17.96073,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,04,03,ENRIQUILLO,060403,874cd289effffff
04eb4b07-3df0-43cd-8ca5-adb2ef8bcc68,1927837052,Zanthoxylum punctatum,Zanthoxylum punctatum Vahl,Rutaceae,Zanthoxylum,SPECIES,PRESERVED_SPECIMEN,1982-12-30,1982,-71.37,18.05,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,03,ENRIQUILLO,060403,874cd2d53ffffff
04edf5dd-70e6-482a-9fe5-40dcd866317b,4528434307,Pinillosia berteroi,Pinillosia berteroi (Spreng.) Urb.,Asteraceae,Pinillosia,SPECIES,PRESERVED_SPECIMEN,2007-01-12,2007,-71.23795,17.89394,NA,cd096ec0-a8a0-4c65-92cc-48b00fb934ce,TEX,TEX,04,03,ENRIQUILLO,060403,874cd2130ffffff
060f4e7c-b963-4249-b11d-e7a1da95fcb3,1927853310,Smilax L.,Smilax L.,Smilacaceae,Smilax,GENUS,PRESERVED_SPECIMEN,1985-01-16,1985,-71.22,17.97,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,03,ENRIQUILLO,060403,874cd2891ffffff
08892bef-64b5-454c-a513-4c52cf000dfc,1927888295,Croton discolor,Croton discolor Willd.,Euphorbiaceae,Croton,SPECIES,PRESERVED_SPECIMEN,1978-03,1978,-71.23636,17.897912,1241.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,03,ENRIQUILLO,060403,874cd2130ffffff
0a71f43f-3fe6-4416-854c-6c702d9293d8,1927915266,Damburneya patens,Nectandra patens (Sw.) Griseb.,Lauraceae,Damburneya,SPECIES,PRESERVED_SPECIMEN,1985-01-17,1985,-71.22,17.97,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,03,ENRIQUILLO,060403,874cd2891ffffff
0c12e00a-c422-4656-8b44-7eb85698e09c,1927937827,Cyclopogon elatus,Cyclopogon elatus (Sw.) Schltr.,Orchidaceae,Cyclopogon,SPECIES,PRESERVED_SPECIMEN,1969-02-27,1969,-71.284747,18.032517,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,03,ENRIQUILLO,060403,874cd2d48ffffff
0eabc787-7898-4d50-a96f-68ac5a2b111a,1927974867,Scybalium jamaicense,Scybalium jamaicense (Sw.) Schott & Endl.,Balanophoraceae,Scybalium,SPECIES,PRESERVED_SPECIMEN,1985-01-17,1985,-71.22,17.97,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,03,ENRIQUILLO,060403,874cd2891ffffff
