occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
00a37417-4b90-4abf-bc6a-36d395e3c1de,1927777141,Dilomilis montana,Dilomilis montana (Sw.) Summerh.,Orchidaceae,Dilomilis,SPECIES,PRESERVED_SPECIMEN,2004-05-21,2004,-71.1885,18.1045,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,07,LA CIÉNAGA,060407,874cd2982ffffff
0122e2e7-412b-4a85-b150-d1de365e886d,1927784027,Commicarpus scandens,Boerhavia scandens L.,Nyctaginaceae,Commicarpus,SPECIES,PRESERVED_SPECIMEN,1981-09-13,1981,-71.12,18.08,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,07,LA CIÉNAGA,060407,874cd298dffffff
02288d84-6d79-4e93-8842-712555df9832,1927797890,Magnolia hamorii,Magnolia hamorii Howard,Magnoliaceae,Magnolia,SPECIES,PRESERVED_SPECIMEN,1988-01-13,1988,-71.18,18.07,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,07,LA CIÉNAGA,060407,874cd299dffffff
02FCCA5D-0041-4242-B720-1DA377CED06C,1503313492,Glandularia aristigera,Glandularia aristigera (S.Moore) Tronc.,Verbenaceae,Glandularia,SPECIES,PRESERVED_SPECIMEN,1968-06-28,1968,-71.074,18.1092,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,04,07,LA CIÉNAGA,060407,874cd291affffff
02b615fb-a185-4914-9132-5750c354c430,1304578575,Solanum rugosum,Solanum rugosum Dunal,Solanaceae,Solanum,SPECIES,OCCURRENCE,1984-05-22,1984,-71.158333,18.05,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,Bioversity,,04,07,LA CIÉNAGA,060407,874cd28a4ffffff
0318372d-04e2-4274-a240-dd180b003921,1927813972,Hamelia axillaris,Hamelia axillaris Sw.,Rubiaceae,Hamelia,SPECIES,PRESERVED_SPECIMEN,1982-12-29,1982,-71.125,18.12,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,07,LA CIÉNAGA,060407,874cd29a8ffffff
04258C5B-0D7F-4050-95E7-D597D7B34B5C,122970318,Magnolia hamorii,Magnolia hamorii Howard,Magnoliaceae,Magnolia,SPECIES,PRESERVED_SPECIMEN,1999-08-31,1999,-71.175,18.0667,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,04,07,LA CIÉNAGA,060407,874cd299dffffff
06ab19ce-a763-4e60-abaa-89d5481ed9a3,1927863459,Bourreria virgata,Bourreria virgata (Sw.) G.Don,Ehretiaceae,Bourreria,SPECIES,PRESERVED_SPECIMEN,1976-11-06/1976-11-07,1976,-71.09033,18.15041,1042,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,04,07,LA CIÉNAGA,060407,874cd2910ffffff
07a9f7ac-3d6d-4b1d-a3d4-83e0e736d105,4415568305,Siphocampylus Pohl,Siphocampylus Pohl,Campanulaceae,Siphocampylus,GENUS,PRESERVED_SPECIMEN,2023-01-30,2023,-71.118131,18.122169,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,04,07,LA CIÉNAGA,060407,874cd29acffffff
08e26450-1ec1-47a0-9e84-639c6d29b5ef,4455460302,Ocotea foeniculacea,Ocotea foeniculacea Mez,Lauraceae,Ocotea,SPECIES,PRESERVED_SPECIMEN,1999-08-31,1999,-71.175,18.083333,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,04,07,LA CIÉNAGA,060407,874cd299dffffff
