occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
00b801fb-2597-4e97-a517-62730c297bab,1457743976,Asplenium serra,Asplenium serra Langsd. & Fisch.,Aspleniaceae,Asplenium,SPECIES,PRESERVED_SPECIMEN,2004-04-23,2004,-71.533889,18.206389,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,10,02,DUVERGÉ,061002,876725a4effffff
00e58748-5348-4529-9f19-30db17623473,1927780474,Acroporium pungens,Acroporium pungens (Hedw.) Broth.,Sematophyllaceae,Acroporium,SPECIES,PRESERVED_SPECIMEN,1981-03-21,1981,-71.7,18.32,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,10,02,DUVERGÉ,061002,876725a02ffffff
010d6338-6a56-420f-a4fc-d86ee7f07548,1457744086,Miconia luteola,Miconia luteola Cogn.,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,1988-04-10,1988,-71.533333,18.216667,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,10,02,DUVERGÉ,061002,876725a41ffffff
0172b954-3252-4918-b114-c3d592de52c4,1927788424,Cyclodictyon albicans,Cyclodictyon albicans (Hedw.) Kuntze,Callicostaceae,Cyclodictyon,SPECIES,PRESERVED_SPECIMEN,1981-03-21,1981,-71.7,18.28,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,10,02,DUVERGÉ,061002,876725a18ffffff
021cd77d-e831-4696-9dd0-a736150fe142,1927800356,Barbellopsis trichophora,Barbellopsis trichophora (Mont.) W.R. Buck,Meteoriaceae,Barbellopsis,SPECIES,PRESERVED_SPECIMEN,1987-01-24,1987,-71.55,18.27,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,10,02,DUVERGÉ,061002,876725a62ffffff
02295964-005a-454c-b8ab-dc480cb21626,1927797837,Chrysophyllum oliviforme,Chrysophyllum oliviforme L.,Sapotaceae,Chrysophyllum,SPECIES,PRESERVED_SPECIMEN,1985-03-16,1985,-71.57,18.32,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,10,02,DUVERGÉ,061002,876725b58ffffff
02b365ee-c1e5-4f20-82a4-050d5be819e7,1304605896,Solanum crotonoides,Solanum crotonoides Lam.,Solanaceae,Solanum,SPECIES,OCCURRENCE,1983-08-18,1983,-71.716667,18.3,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,Bioversity,,10,02,DUVERGÉ,061002,876725a1effffff
02df4524-d349-4ba5-95ff-6b7027278642,2238706448,Miconia longicollis,Miconia longicollis (Urb. & Cogn.) Judd & Becquer,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,2016-02-04,2016,-71.70435,18.31383,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,10,02,DUVERGÉ,061002,876725a02ffffff
02e01bce-2e94-4210-8dc8-60eab0260256,1846482332,Chamissoa altissima,Chamissoa altissima (Jacq.) Kunth,Amaranthaceae,Chamissoa,SPECIES,PRESERVED_SPECIMEN,2016-02-04,2016,-71.694167,18.322917,NA,3c59bd42-7bfd-421b-8da4-275780390e4c,DES,,10,02,DUVERGÉ,061002,876725a02ffffff
02ee40a4-71ca-471f-ac44-837e759f75dc,1927812017,Myriopus selleanus,Tournefortia selleana Urb. & Ekman,Heliotropiaceae,Myriopus,SPECIES,PRESERVED_SPECIMEN,1985-03-17,1985,-71.5,18.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,10,02,DUVERGÉ,061002,876725a68ffffff
0339564e-d0ac-4983-8516-9918c75ca00e,1927813428,Polystichum underwoodii,Polystichum underwoodii Maxon,Dryopteridaceae,Polystichum,SPECIES,PRESERVED_SPECIMEN,2000-07-02,2000,-71.71128,18.30906,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,10,02,DUVERGÉ,061002,876725a11ffffff
0347e16c-afb1-481d-8158-01cbc3116bb1,1927814090,Meteoridium remotifolium,Meteoridium remotifolium (Müll. Hal.) Manuel,Brachytheciaceae,Meteoridium,SPECIES,PRESERVED_SPECIMEN,1981-03-21,1981,-71.7,18.28,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,10,02,DUVERGÉ,061002,876725a18ffffff
038c5cf6-774e-499f-8ae2-c99d278dfc42,1927817833,Lyonia microcarpa,Lyonia microcarpa Urb. & Ekman,Ericaceae,Lyonia,SPECIES,PRESERVED_SPECIMEN,1983-08-17,1983,-71.7,18.3,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,10,02,DUVERGÉ,061002,876725a1cffffff
