occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
0019ca5a-9f39-40bf-86bc-a1a21107bfff,1927769769,Brachythecium ruderale,Brachythecium ruderale (Brid.) W.R. Buck,Brachytheciaceae,Brachythecium,SPECIES,PRESERVED_SPECIMEN,1981-03-22,1981,-71.72,18.72,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,04,HONDO VALLE,070704,874cd6596ffffff
00dd4592-0306-4202-97af-b6725872785a,1057074928,Microgramma piloselloides,Microgramma piloselloides (L.) Copel.,Polypodiaceae,Microgramma,SPECIES,PRESERVED_SPECIMEN,1967-08-08,1967,-71.6503,18.6697,NA,7e380070-f762-11e1-a439-00145eb45e9a,NHMUK,BOT,07,04,HONDO VALLE,070704,874cd659dffffff
0126e46c-de3a-4e37-819c-d8a220b8ce48,4079747691,Desmodium scorpiurus,Desmodium scorpiurus (Sw.) Poir.,Fabaceae,Desmodium,SPECIES,PRESERVED_SPECIMEN,1973-03-17,1973,-71.696355,18.71586,755,3b040a48-deae-485c-95b1-2ac80b7fdc54,IIBZ,USD,07,04,HONDO VALLE,070704,874cd6594ffffff
025e30f8-f5a2-43fe-b8be-0a9b6c1e0e5e,2238706449,Miconia acuminoides,"Miconia acuminoides Skean, Judd & Majure",Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,2016-02-05,2016,-71.75414,18.71474,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,04,HONDO VALLE,070704,876725964ffffff
0283b283-2891-4e1e-a69f-8cbef6708239,5931655325,Ditta myricoides,Ditta myricoides Griseb.,Euphorbiaceae,Ditta,SPECIES,PRESERVED_SPECIMEN,1987-07-15,1987,-71.783333,18.683333,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,04,HONDO VALLE,070704,876725944ffffff
0302fa79-6b09-4eed-9201-29d0806eb6cb,2447309492,Elaphoglossum Schott ex J.Sm.,Elaphoglossum Schott ex J.Sm.,Dryopteridaceae,Elaphoglossum,GENUS,PRESERVED_SPECIMEN,1987-07-14,1987,-71.77,18.7,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,04,HONDO VALLE,070704,876725962ffffff
0380F37CFFCA7F3D99A6E7FAD56EFA70.mc.3B414837FFD47F3D9C14E1A3D3B3FCB6,6356393305,Sticherus antillensis,Sticherus antillensis J.Gonzales,Gleicheniaceae,Sticherus,SPECIES,MATERIAL_CITATION,1988-07-15,1988,-71.78333,18.683332,NA,2185a8cf-c15c-448b-b8c0-6055976408ed,NY,,07,04,HONDO VALLE,070704,876725944ffffff
0380F37CFFCA7F3D99A6E7FAD56EFA70.mc.3B414837FFD47F3D9D6AE056D495FCC0,6356397302,Sticherus antillensis,Sticherus antillensis J.Gonzales,Gleicheniaceae,Sticherus,SPECIES,MATERIAL_CITATION,1982-02-23,1982,-71.78333,18.683332,NA,2185a8cf-c15c-448b-b8c0-6055976408ed,NY,,07,04,HONDO VALLE,070704,876725944ffffff
0380F37CFFCA7F3D99A6E7FAD56EFA70.mc.3B414837FFD47F3D9D9AE07DD342FCE9,6356398301,Sticherus antillensis,Sticherus antillensis J.Gonzales,Gleicheniaceae,Sticherus,SPECIES,MATERIAL_CITATION,1982-02-22,1982,-71.78333,18.683332,NA,2185a8cf-c15c-448b-b8c0-6055976408ed,NY,,07,04,HONDO VALLE,070704,876725944ffffff
041c090e-5bef-4d62-82e7-d54a1f8a53f1,1927826304,Porotrichum bertrandii,Porotrichodendron bertrandii (Renauld & Cardot) Broth.,Neckeraceae,Porotrichum,SPECIES,PRESERVED_SPECIMEN,1981-03-16,1981,-71.75,18.7,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,04,HONDO VALLE,070704,876725960ffffff
