occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
01d2f930-faf1-4642-88e2-1228f509bf34,1927793368,Piper aduncum,Piper aduncum L.,Piperaceae,Piper,SPECIES,PRESERVED_SPECIMEN,1982-05-04,1982,-71.525,19.2417,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb50ffffff
050f0637-57fd-4992-9831-017f96c196ac,1927839357,Jirivanaea galipensis,Sematophyllum galipense (Müll. Hal.) Mitt.,Sematophyllaceae,Jirivanaea,SPECIES,PRESERVED_SPECIMEN,1981-03-23,1981,-71.53,19.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb52ffffff
09742dec-7f54-4319-860f-83b8f973b726,4512927307,Miconia punctata,Miconia punctata (Desr.) D.Don,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,2019-06-25,2019,-71.472944,19.235361,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,05,PEDRO SANTANA,070705,874c8bb42ffffff
0a380cca-3c00-4f6b-b2c4-1db59a6f38db,1057439595,Cyathea aspera,Cyathea alsophila (Link) Domin,Cyatheaceae,Cyathea,SPECIES,PRESERVED_SPECIMEN,1926-06-10,1926,-71.483333,19.216667,NA,7e380070-f762-11e1-a439-00145eb45e9a,NHMUK,BOT,07,05,PEDRO SANTANA,070705,874c8bb5cffffff
0ae349d0-0833-4041-8104-2e69663ccffb,1457747407,Meriania involucrata,Meriania involucrata (Desr.) Naudin,Melastomataceae,Meriania,SPECIES,PRESERVED_SPECIMEN,1983-04-16,1983,-71.5,19.216667,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,05,PEDRO SANTANA,070705,874c8bb5effffff
0cf67122-303c-43a7-a81f-c008d8d81386,1927951361,Thamnobryum subseriatum,Porotrichum subseriatum (Mitt. ex Sande Lac.) Mitt.,Neckeraceae,Thamnobryum,SPECIES,PRESERVED_SPECIMEN,1981-03-23,1981,-71.53,19.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb52ffffff
10a2cb39-8413-4c67-9a71-f93120a6069e,1928002242,Pleopeltis hookeri,Pleopeltis hookeri A.R.Sm.,Polypodiaceae,Pleopeltis,SPECIES,PRESERVED_SPECIMEN,1982-05-04,1982,-71.525,19.2417,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb50ffffff
133b7779-5724-4f24-ae27-b3436e0cdc4b,1928039044,Diplazium cristatum,Diplazium cristatum (Desr.) Alston,Athyriaceae,Diplazium,SPECIES,PRESERVED_SPECIMEN,1982-05-04,1982,-71.525,19.2417,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb50ffffff
1EA2FC7E-4AE5-448D-801B-1E5C7E796EFD,1503187689,Cissus intermedia,Cissus intermedia A.Rich.,Vitaceae,Cissus,SPECIES,PRESERVED_SPECIMEN,1970-05-01,1970,-71.65,19.1,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,07,05,PEDRO SANTANA,070705,874c8baf3ffffff
1FBFA743-911F-462F-9DA6-DD3E8EE61D69,1503207966,Tillandsia festucoides,Tillandsia festucoides Brongn. ex Mez,Bromeliaceae,Tillandsia,SPECIES,PRESERVED_SPECIMEN,1982-03-04,1982,-71.55,19.2667,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,07,05,PEDRO SANTANA,070705,874c8bb0bffffff
1d34b3e4-6056-4f51-bda2-152f5fed5b18,4517447309,Miconia serrulata,Miconia serrulata (DC.) Naudin,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,2019-05-03,2019,-71.525278,19.238611,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,05,PEDRO SANTANA,070705,874c8bb50ffffff
2197c09b-ba6f-44cd-afb5-38cdbe0240ac,4512928324,Miconia lima,Miconia lima (Desr.) M.Gómez,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,2019-06-27,2019,-71.4715,19.208778,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,05,PEDRO SANTANA,070705,874c8bb5dffffff
22A26B48-C285-41CB-A373-DCEF0A52C775,1655987613,Euphorbia berteroana,Euphorbia berteroana Balb. ex Spreng.,Euphorbiaceae,Euphorbia,SPECIES,PRESERVED_SPECIMEN,1970-05-01,1970,-71.65,19.1,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,07,05,PEDRO SANTANA,070705,874c8baf3ffffff
23cf16ee-ec7b-4789-a474-2a20e20a1c70,1928275667,Tillandsia deppeana,Tillandsia paniculata Schltdl. & Cham.,Bromeliaceae,Tillandsia,SPECIES,PRESERVED_SPECIMEN,1984-12-19,1984,-71.68,19.1,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8ba89ffffff
2968953c-8b5f-4b49-9b3a-fc2fed743da9,1928354542,Guarea guidonia,Guarea guidonia (L.) Sleumer,Meliaceae,Guarea,SPECIES,PRESERVED_SPECIMEN,1982-05-04,1982,-71.525,19.2417,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb50ffffff
2b269d77-35cd-4852-b949-b2a3e7d7bf1c,4125981301,Niphidium crassifolium,Niphidium crassifolium (L.) Lellinger,Polypodiaceae,Niphidium,SPECIES,PRESERVED_SPECIMEN,2019-06-26,2019,-71.469806,19.218444,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,05,PEDRO SANTANA,070705,874c8bb43ffffff
2d0db984-6566-4124-a80e-1de37a88f498,1928407187,Pelekium sharpii,Cyrto-hypnum sharpii (H.A. Crum) W.R. Buck & H.A. Crum,Thuidiaceae,Pelekium,SPECIES,PRESERVED_SPECIMEN,1981-03-23,1981,-71.53,19.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb52ffffff
2e81e9e4-fca3-4966-aa2e-f0fae541d2a5,4125981303,Serpocaulon loriceum,Serpocaulon loriceum (L.) A.R.Sm.,Polypodiaceae,Serpocaulon,SPECIES,PRESERVED_SPECIMEN,2019-06-26,2019,-71.469806,19.218444,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,05,PEDRO SANTANA,070705,874c8bb43ffffff
2f6d8828-7aee-459d-a918-7bd310108fc7,1928439446,Mucuna mutisiana,Mucuna mutisiana (Kunth) DC.,Fabaceae,Mucuna,SPECIES,PRESERVED_SPECIMEN,1982-05-04,1982,-71.525,19.2417,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb50ffffff
30f4058b-35ee-4a7b-9365-74f25a907258,1928461051,Rhynchostegium serrulatum,Rhynchostegium serrulatum (Hedw.) A.Jaeger,Brachytheciaceae,Rhynchostegium,SPECIES,PRESERVED_SPECIMEN,1981-03-23,1981,-71.53,19.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb52ffffff
3133a88a-22ae-4bea-9b41-66dd8f499083,1928464237,Barbula farriae,Barbula farriae H.A. Crum & E.B. Bartram,Pottiaceae,Barbula,SPECIES,PRESERVED_SPECIMEN,1981-03-23,1981,-71.53,19.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb52ffffff
337f4c80-be64-4b35-ba7a-55ad06946f67,1928496365,Lepidaploa sprengeliana,Lepidaploa sprengeliana (Sch.Bip.) H.Rob.,Asteraceae,Lepidaploa,SPECIES,PRESERVED_SPECIMEN,1982-03-04,1982,-71.55,19.27,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb0bffffff
34ae4be6-3788-49db-b319-4c805a9c8a8b,1928514789,Elaphoglossum eggersii,Elaphoglossum eggersii (Baker) Christ,Dryopteridaceae,Elaphoglossum,SPECIES,PRESERVED_SPECIMEN,1991-03-14,1991,-71.5,19.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb51ffffff
34c80d1e-f94f-4591-aaa6-2458092992a0,4089041307,Polystichum platyphyllum,Polystichum polystichiformis (Fée) Maxon,Dryopteridaceae,Polystichum,SPECIES,PRESERVED_SPECIMEN,2019-05-01,2019,-71.516222,19.2185,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,05,PEDRO SANTANA,070705,874c8bb53ffffff
3710bbd4-d1f3-467a-8d06-358fbc94d6e3,4125988302,Grammitis Sw.,Grammitis Sw.,Polypodiaceae,Grammitis,GENUS,PRESERVED_SPECIMEN,2019-06-26,2019,-71.469806,19.218444,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,05,PEDRO SANTANA,070705,874c8bb43ffffff
37346753-3215-4330-9617-22eb78c019d0,4512925354,Miconia berteroi,Miconia berteroi (DC.) Judd & Ionta,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,2019-06-25,2019,-71.472944,19.235361,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,05,PEDRO SANTANA,070705,874c8bb42ffffff
39ae5a2a-56d1-48f9-84f9-4b0b39f3fcb9,1928584216,Tillandsia recurvata,Tillandsia recurvata (L.) L.,Bromeliaceae,Tillandsia,SPECIES,PRESERVED_SPECIMEN,1982-05-04,1982,-71.525,19.2417,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb50ffffff
39e13e96-8bb1-42e0-a553-a95b3353057c,1928586933,Thamnobryum subseriatum,Porotrichum subseriatum (Mitt. ex Sande Lac.) Mitt.,Neckeraceae,Thamnobryum,SPECIES,PRESERVED_SPECIMEN,1981-03-23,1981,-71.53,19.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb52ffffff
3ac35d48-6a0f-44da-95f1-e73aeefac32c,1928598594,Phoradendron berteroanum,Phoradendron berteroanum (DC.) Griseb.,Viscaceae,Phoradendron,SPECIES,PRESERVED_SPECIMEN,1982-05-04,1982,-71.525,19.2417,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb50ffffff
3dd2613d-4ac2-4772-af4d-b31191b42ad4,1928642414,Turbina racemosa,Turbina racemosa (Poir.) D.F.Austin,Convolvulaceae,Turbina,SPECIES,PRESERVED_SPECIMEN,1984-12-19,1984,-71.62,19.22,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8ba31ffffff
40165dc1-2f6f-4d9a-8af1-356327efe104,4089044316,Polystichum echinatum,Polystichum echinatum (J.F.Gmel.) C.Chr.,Dryopteridaceae,Polystichum,SPECIES,PRESERVED_SPECIMEN,2019-05-02,2019,-71.513194,19.194639,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,05,PEDRO SANTANA,070705,874c8bb5affffff
4141b663-c3dd-4516-86f7-f2cb65990e4c,1928690841,Thamnobryum subseriatum,Porotrichum subseriatum (Mitt. ex Sande Lac.) Mitt.,Neckeraceae,Thamnobryum,SPECIES,PRESERVED_SPECIMEN,1981-03-23,1981,-71.53,19.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb52ffffff
429d9342-4e7f-495d-8a3a-340f35c93f28,1928709889,Orthostichella hexasticha,Orthostichella hexasticha (Schwägr.) W.R. Buck,Orthostichellaceae,Orthostichella,SPECIES,PRESERVED_SPECIMEN,1981-03-23,1981,-71.53,19.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb52ffffff
442f8bd1-88e0-4ac3-9c9b-3e637f073d2b,1928732303,Fissidens flaccidus,Fissidens flaccidus Mitt.,Fissidentaceae,Fissidens,SPECIES,PRESERVED_SPECIMEN,1981-03-23,1981,-71.53,19.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb52ffffff
44f603bd-8d6d-42ce-bea0-c37b377a9a32,4125982305,Serpocaulon loriceum,Serpocaulon loriceum (L.) A.R.Sm.,Polypodiaceae,Serpocaulon,SPECIES,PRESERVED_SPECIMEN,2019-06-27,2019,-71.4715,19.208778,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,05,PEDRO SANTANA,070705,874c8bb5dffffff
457f52a3-0f70-49d9-919c-1e3ff09290fa,1928750907,Toloxis imponderosa,Toloxis imponderosa (Taylor) W.R. Buck,Meteoriaceae,Toloxis,SPECIES,PRESERVED_SPECIMEN,1981-03-23,1981,-71.53,19.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb52ffffff
46933403-41d3-47a7-ad90-757addc8b136,1928766177,Clusia minor,Clusia minor L.,Clusiaceae,Clusia,SPECIES,PRESERVED_SPECIMEN,1982-05-04,1982,-71.525,19.2417,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb50ffffff
49442895-cb55-4154-8e34-1bb9b9a847db,1928804513,Lantana camara,Lantana camara L.,Verbenaceae,Lantana,SPECIES,PRESERVED_SPECIMEN,1982-05-04,1982,-71.525,19.2417,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb50ffffff
49afcb83-0b4d-49d1-bae3-bea83dbd1eaa,1928809949,Amyris diatrypa,Amyris diatrypa Spreng.,Rutaceae,Amyris,SPECIES,PRESERVED_SPECIMEN,1984-12-19,1984,-71.68,19.1,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8ba89ffffff
4b71b6f9-57db-4376-81bb-d45ab15a4679,1928835455,Thuidium urceolatum,Thuidium urceolatum Lorentz,Thuidiaceae,Thuidium,SPECIES,PRESERVED_SPECIMEN,1981-03-23,1981,-71.53,19.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb52ffffff
4c6efb9d-108b-4af5-8b0a-bc5ced21257d,1928848823,Abutilon abutiloides,Abutilon abutiloides (Jacq.) Garcke,Malvaceae,Abutilon,SPECIES,PRESERVED_SPECIMEN,1984-12-19,1984,-71.68,19.1,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8ba89ffffff
4dae59d5-785f-469d-a514-bdf7163e3f3e,1928866521,Asplenium auritum,Asplenium auritum Sw.,Aspleniaceae,Asplenium,SPECIES,PRESERVED_SPECIMEN,1982-05-04,1982,-71.525,19.2417,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb50ffffff
4ded24a8-d973-4eaa-aeb1-0564248458fc,1928870514,Encyclia gravida,Encyclia gravida (Lindl.) Schltr.,Orchidaceae,Encyclia,SPECIES,PRESERVED_SPECIMEN,1982-03-04,1982,-71.525,19.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb53ffffff
4fa77332-c82c-42b6-9aef-a3df104bf828,4525834313,Miconia crenata,Miconia crenata (Vahl) Michelang.,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,1983-08-25,1983,-71.608333,19.15,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,05,PEDRO SANTANA,070705,874c8ba19ffffff
5185002f-80bd-4d71-914a-b57d9cd98833,5105411368,Scleria distans,Scleria distans Poir.,Cyperaceae,Scleria,SPECIES,PRESERVED_SPECIMEN,2019-06-26,2019,-71.469806,19.218444,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,05,PEDRO SANTANA,070705,874c8bb43ffffff
525806a2-a95a-4a00-8590-085ba06b0b77,1928932203,Asplenium rhomboidale,Asplenium sintenisii Hieron.,Aspleniaceae,Asplenium,SPECIES,PRESERVED_SPECIMEN,1991-03-14,1991,-71.5,19.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb51ffffff
52c3c211-ad5a-4baa-9d4d-170ee3c98663,2270671882,Myrcia bracteosa,Calyptranthes bracteosa Urb. & Ekman,Myrtaceae,Myrcia,SPECIES,PRESERVED_SPECIMEN,1991-03-14,1991,-71.5,19.2333,NA,e05fd4c2-4d77-4c50-880e-1b22096af300,ASU,Plants,07,05,PEDRO SANTANA,070705,874c8bb51ffffff
54347063-6b6d-4c77-b05d-e216797a3625,1928958636,Cochleanthes flabelliformis,Cochleanthes flabelliformis (Sw.) R.E.Schult. & Garay,Orchidaceae,Cochleanthes,SPECIES,PRESERVED_SPECIMEN,1982-03-04,1982,-71.5917,19.2417,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8ba22ffffff
55379e54-7b49-4373-8bcb-95833b5319aa,4512925388,Miconia prasina,Miconia prasina (Sw.) DC.,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,2019-05-02,2019,-71.510167,19.210444,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,05,PEDRO SANTANA,070705,874c8bb5effffff
55be9a49-168f-4b36-b557-949950050948,1928979983,Hydrogonium arcuatum,Barbula arcuata Griff.,Pottiaceae,Hydrogonium,SPECIES,PRESERVED_SPECIMEN,1981-03-23,1981,-71.53,19.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb52ffffff
5609b97e-6320-45e2-bfe4-7533d27666f2,1928984062,Podocarpus hispaniolensis,Podocarpus hispaniolensis de Laub.,Podocarpaceae,Podocarpus,SPECIES,PRESERVED_SPECIMEN,1992-05-21,1992,-71.48,19.22,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb5cffffff
576575A6-A603-4357-9F47-E221F1A16BE9,122966872,Lantana trifolia,Lantana trifolia L.,Verbenaceae,Lantana,SPECIES,PRESERVED_SPECIMEN,1982-03-04,1982,-71.525,19.2417,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,07,05,PEDRO SANTANA,070705,874c8bb50ffffff
578f6edb-545e-459b-9f85-d84354e2e3c3,1929006900,Plagiobryoides limbata,Bryum limbatum Müll. Hal.,Bryaceae,Plagiobryoides,SPECIES,PRESERVED_SPECIMEN,1981-03-23,1981,-71.53,19.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb52ffffff
596bd89b-b507-40bd-a544-9d3d4fbf9975,1929032353,Epidendrum anceps,Epidendrum anceps Jacq.,Orchidaceae,Epidendrum,SPECIES,PRESERVED_SPECIMEN,1982-03-04,1982,-71.525,19.2417,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb50ffffff
5E852D03-BEFC-4405-BA7C-C4CEF217D257,1503313406,Quadrella ferruginea,Quadrella ferruginea (L.) Iltis & Cornejo,Capparaceae,Quadrella,SPECIES,PRESERVED_SPECIMEN,1970-05-01,1970,-71.65,19.1,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,07,05,PEDRO SANTANA,070705,874c8baf3ffffff
5cf52386-79f6-47a9-952c-0a524bfd2f4a,1929081642,Leucoloma serrulatum,Leucoloma serrulatum Brid.,Dicranaceae,Leucoloma,SPECIES,PRESERVED_SPECIMEN,1981-03-23,1981,-71.53,19.23,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb52ffffff
5f077383-407e-4a91-b74a-dc8da0444348,1929111725,Zanthoxylum tragodes,Zanthoxylum tragodes (L.) DC.,Rutaceae,Zanthoxylum,SPECIES,PRESERVED_SPECIMEN,1984-12-19,1984,-71.68,19.1,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8ba89ffffff
5f205eb8-a4c3-44f4-afb4-f5d384597544,4517446323,Miconia umbellata,Miconia umbellata (Mill.) Judd & Ionta,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,2019-06-25,2019,-71.472944,19.235361,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,05,PEDRO SANTANA,070705,874c8bb42ffffff
5f39f948-fef4-4f53-bac7-71eead7db83d,1929114296,Epidendrum rigidum,Epidendrum rigidum Jacq.,Orchidaceae,Epidendrum,SPECIES,PRESERVED_SPECIMEN,1982-03-04,1982,-71.55,19.27,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb0bffffff
60ea5ebf-f45c-40fe-840c-429b97b6ec96,1929137995,Tillandsia deppeana,Tillandsia paniculata Schltdl. & Cham.,Bromeliaceae,Tillandsia,SPECIES,PRESERVED_SPECIMEN,1984-12-19,1984,-71.68,19.1,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8ba89ffffff
6440c8ca-9aa0-434d-9963-8ee0d6e66182,1929185030,Cyclopogon elatus,Cyclopogon elatus (Sw.) Schltr.,Orchidaceae,Cyclopogon,SPECIES,PRESERVED_SPECIMEN,1982-03-04,1982,-71.525,19.2417,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb50ffffff
6a454911-f7c3-45ba-9ef0-9946daea72a8,1929269805,Heliotropium verdcourtii,Tournefortia hirsutissima L.,Heliotropiaceae,Heliotropium,SPECIES,PRESERVED_SPECIMEN,1982-05-04,1982,-71.525,19.2417,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,07,05,PEDRO SANTANA,070705,874c8bb50ffffff
6b0b65d9-5b8d-4eb9-8d91-9bb8732aecc3,4512925406,Miconia ocampensis,"Miconia ocampensis Skean, Judd & Majure",Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,2019-06-25,2019,-71.472944,19.235361,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,07,05,PEDRO SANTANA,070705,874c8bb42ffffff
