occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
003c410b-577c-4a99-a09b-e732f46ac3d0,4872675238,Varronia bullata,Varronia globosa Jacq.,Cordiaceae,Varronia,SPECIES,PRESERVED_SPECIMEN,1980-07-31,1980,-68.919314,18.42059,1000,453e3294-97ef-4e1c-87cb-1ef7c5351d8e,DEK,,12,01,LA ROMANA,081201,874cd5b2affffff
01670031-1a2d-43dd-b8e0-e8e10dabdc1f,1927787892,Guaiacum officinale,Guaiacum officinale L.,Zygophyllaceae,Guaiacum,SPECIES,PRESERVED_SPECIMEN,1981-06-30,1981,-68.73,18.13,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,12,01,LA ROMANA,081201,874cc2d02ffffff
025ee8d5-e447-4a78-8db9-6140e6c14136,1927804357,Thouinia trifoliata,Thouinia trifoliata Poit.,Sapindaceae,Thouinia,SPECIES,PRESERVED_SPECIMEN,1973-04-08,1973,-69.008388,18.35923,2601.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,12,01,LA ROMANA,081201,874cd5a36ffffff
0306bd2d-5928-4fc5-9fec-293dedfbd898,1927810053,Malachra alceifolia,Malachra alceifolia Jacq.,Malvaceae,Malachra,SPECIES,PRESERVED_SPECIMEN,1980-11-18,1980,-68.92,18.5,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,12,01,LA ROMANA,081201,874cc648affffff
044362A7-0D45-441E-8DE4-199770667151,1503190203,Terminalia buceras,Terminalia buceras (L.) C.Wright,Combretaceae,Terminalia,SPECIES,PRESERVED_SPECIMEN,1975-04-13,1975,-68.972,18.427,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,12,01,LA ROMANA,081201,874cd5b02ffffff
051b5bba-6f72-4823-ad1f-e25f99ab4708,1927840143,Chascotheca neopeltandra,Chascotheca neopeltandra (Griseb.) Urb.,Phyllanthaceae,Chascotheca,SPECIES,PRESERVED_SPECIMEN,1973-04-08,1973,-69.008388,18.35923,2601.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,12,01,LA ROMANA,081201,874cd5a36ffffff
0549043c-5099-4330-a48e-7b77b3e4d788,1927842431,Phyllanthus L.,Phyllanthus L.,Phyllanthaceae,Phyllanthus,GENUS,PRESERVED_SPECIMEN,1981-06-29,1981,-68.73,18.13,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,12,01,LA ROMANA,081201,874cc2d02ffffff
07109f87-33b7-4df6-9cc7-5aa37f344322,1927867310,Caesalpinia domingensis,Caesalpinia domingensis Urb.,Fabaceae,Caesalpinia,SPECIES,PRESERVED_SPECIMEN,1978-02-18,1978,-69.008388,18.35923,2601.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,12,01,LA ROMANA,081201,874cd5a36ffffff
075c417a-a06e-469c-b1ab-306738a81002,1927871649,Ceratophyllum demersum,Ceratophyllum demersum L.,Ceratophyllaceae,Ceratophyllum,SPECIES,PRESERVED_SPECIMEN,1980-11-17,1980,-68.9,18.43,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,12,01,LA ROMANA,081201,874cd5b28ffffff
07B721DF-93E2-4298-942A-3A23EDEB7C91,1503206487,Cordia fitchii,Cordia fitchii Urb.,Cordiaceae,Cordia,SPECIES,PRESERVED_SPECIMEN,1982-08-19,1982,-68.972,18.427,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,12,01,LA ROMANA,081201,874cd5b02ffffff
