occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
00037ccc-09c3-491e-b609-e7ad79091f9c,1927768530,Guaiacum sanctum,Guaiacum sanctum L.,Zygophyllaceae,Guaiacum,SPECIES,PRESERVED_SPECIMEN,1981-06-11,1981,-69.1,18.42,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,03,RAMÓN SANTANA,092303,874cd5bb1ffffff
010782d9-f37a-465d-b92b-36e3837eaf5b,1988601445,Mascagnia adamsii,Mascagnia adamsii W.R.Anderson & C.Davis,Malpighiaceae,Mascagnia,SPECIES,PRESERVED_SPECIMEN,1980-07-31,1980,-69.1,18.4,NA,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,MICH,Angiosperms,23,03,RAMÓN SANTANA,092303,874cd5b86ffffff
015c7f7e-2721-4b69-aa44-93e75607ac84,1304294171,Vigna luteola,Vigna luteola (Jacq.) Benth.,Fabaceae,Vigna,SPECIES,OCCURRENCE,,NA,-69.13,18.5,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,Bioversity,,23,03,RAMÓN SANTANA,092303,874cd5853ffffff
02783776-8157-464c-bf2f-aebf26ccbca9,1927806399,Cyperus planifolius,Cyperus planifolius Rich.,Cyperaceae,Cyperus,SPECIES,PRESERVED_SPECIMEN,1980-07-31,1980,-69.1,18.4,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,03,RAMÓN SANTANA,092303,874cd5b86ffffff
039ef31c-69a3-4ec7-b65b-18215df30b29,1927818894,Gracilaria debilis,Gracilaria debilis (Forssk.) Børgesen,Gracilariaceae,Gracilaria,SPECIES,PRESERVED_SPECIMEN,1976-07-07,1976,-69.194505,18.437733,786.98,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,03,RAMÓN SANTANA,092303,874cd58ddffffff
047b5596-71b2-4489-91cd-4dd367040c4d,1927831000,Stenostomum lucidum,Stenostomum lucidum (Sw.) C.F.Gaertn.,Rubiaceae,Stenostomum,SPECIES,PRESERVED_SPECIMEN,1987-05-15,1987,-69.1,18.45,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,03,RAMÓN SANTANA,092303,874cd585bffffff
04c0bfe7-f043-495e-9e35-621602e96956,1927835102,Crossopetalum rhacoma,Crossopetalum rhacoma Crantz,Celastraceae,Crossopetalum,SPECIES,PRESERVED_SPECIMEN,1973-05-19/1973-05-20,1973,-69.100002,18.400014,2511.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,03,RAMÓN SANTANA,092303,874cd5b86ffffff
053FBE21-F3C7-4550-915C-DCC9A497D59B,1503218571,Guaiacum sanctum,Guaiacum sanctum L.,Zygophyllaceae,Guaiacum,SPECIES,PRESERVED_SPECIMEN,1981-06-11,1981,-69.1,18.4167,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,23,03,RAMÓN SANTANA,092303,874cd5bb1ffffff
06cc737d-7025-481b-8dcd-e513287fd34d,1927863700,Codium isthmocladum,"Codium isthmocladum Vickers, 1905",Codiaceae,Codium,SPECIES,PRESERVED_SPECIMEN,1976-07-07,1976,-69.194505,18.437733,786.98,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,03,RAMÓN SANTANA,092303,874cd58ddffffff
078127CE-43A5-4E9A-8A72-86A1CC13713B,153274269,Myrcia neosintenisii,Calyptranthes sintenisii Kiaersk.,Myrtaceae,Myrcia,SPECIES,PRESERVED_SPECIMEN,1980-07-31,1980,-69.1,18.4,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,23,03,RAMÓN SANTANA,092303,874cd5b86ffffff
