occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
0038246f-93c3-4e3f-abac-5f4c5e736c20,1927771760,Fimbristylis cymosa,Fimbristylis cymosa R.Br.,Cyperaceae,Fimbristylis,SPECIES,PRESERVED_SPECIMEN,1970-10-03,1970,-69.456612,18.417987,754.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd5184ffffff
03cd03a6-d901-43fe-b011-4878ede3c784,1927821431,Tephrosia purpurea,Tephrosia purpurea (L.) Pers.,Fabaceae,Tephrosia,SPECIES,PRESERVED_SPECIMEN,1981-03-04,1981,-69.47,18.42,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51b1ffffff
0686d28a-5fba-4280-a8a0-0422559398a1,1927860037,Hamelia patens,Hamelia patens Jacq.,Rubiaceae,Hamelia,SPECIES,PRESERVED_SPECIMEN,1981-03-04,1981,-69.47,18.42,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51b1ffffff
07E15214-935B-4605-B87E-928E82FB3700,122924015,Chiococca alba,Chiococca alba (L.) Hitchc.,Rubiaceae,Chiococca,SPECIES,PRESERVED_SPECIMEN,1981-08-20,1981,-69.4167,18.4333,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,23,06,GUAYACANES,092306,874cd51a5ffffff
0b4c3533-dde9-4dae-af71-3eb6b1d79e3b,1927927335,Euphorbia hirta,Euphorbia hirta L.,Euphorbiaceae,Euphorbia,SPECIES,PRESERVED_SPECIMEN,1981-03-04,1981,-69.47,18.42,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51b1ffffff
0d99eb50-78ca-4058-b2d5-b31b54c9af91,5833108908,Sideroxylon foetidissimum,Sideroxylon foetidissimum Jacq.,Sapotaceae,Sideroxylon,SPECIES,PRESERVED_SPECIMEN,1980-10-15,1980,-69.378512,18.427235,250,453e3294-97ef-4e1c-87cb-1ef7c5351d8e,DEK,,23,06,GUAYACANES,092306,874cd5111ffffff
11017cd8-40ff-4f36-bde3-0dbfacd080af,1928007502,Eugenia foetida,Eugenia foetida Pers.,Myrtaceae,Eugenia,SPECIES,PRESERVED_SPECIMEN,1981-08-20,1981,-69.42,18.43,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51a1ffffff
17979cff-2c0f-46ae-bdfc-7bcf4f3a9679,1928100604,Coccoloba diversifolia,Coccoloba diversifolia Jacq.,Polygonaceae,Coccoloba,SPECIES,PRESERVED_SPECIMEN,1981-08-20,1981,-69.42,18.43,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51a1ffffff
18ee3c6b-9169-43d9-82ce-72814e5e0626,1928119159,Paspalum laxum,Paspalum laxum Lam.,Poaceae,Paspalum,SPECIES,PRESERVED_SPECIMEN,1981-03-04,1981,-69.47,18.42,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51b1ffffff
1b967e94-e3bd-49c4-913b-c66d554f6381,1928155804,Amaranthus viridis,Amaranthus viridis L.,Amaranthaceae,Amaranthus,SPECIES,PRESERVED_SPECIMEN,1981-03-04,1981,-69.47,18.42,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51b1ffffff
20b35d8b-f5f8-40c8-8854-1ae4612cffbd,1928231889,Heliotropium angiospermum,Heliotropium angiospermum Murray,Heliotropiaceae,Heliotropium,SPECIES,PRESERVED_SPECIMEN,1981-03-04,1981,-69.47,18.42,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51b1ffffff
290BE2F8-0D2A-41D0-88ED-73114C327258,1655986913,Euphorbia hirta,Euphorbia hirta L.,Euphorbiaceae,Euphorbia,SPECIES,PRESERVED_SPECIMEN,1971-04-25,1971,-69.4889,18.4115,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,23,06,GUAYACANES,092306,874cd5186ffffff
2D7C6881-E260-449D-9492-684A2D776E99,122902302,Stenostomum lucidum,Antirhea lucida (Sw.) Benth. & Hook.,Rubiaceae,Stenostomum,SPECIES,PRESERVED_SPECIMEN,1981-08-20,1981,-69.4167,18.4333,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,23,06,GUAYACANES,092306,874cd51a5ffffff
2e2f9c97-e457-48a1-819d-86a227134926,1928422230,Ocimum tenuiflorum,Ocimum tenuiflorum L.,Lamiaceae,Ocimum,SPECIES,PRESERVED_SPECIMEN,1981-03-04,1981,-69.47,18.42,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51b1ffffff
2e450df6-b396-47cc-af55-6cb9e5c43276,1928424011,Canavalia rosea,Canavalia rosea (Sw.) DC.,Fabaceae,Canavalia,SPECIES,PRESERVED_SPECIMEN,1981-03-04,1981,-69.47,18.42,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51b1ffffff
30c43699-e132-4cf3-b6f3-4c2a9f42aaf4,1928458426,Solanum americanum,Solanum americanum Mill.,Solanaceae,Solanum,SPECIES,PRESERVED_SPECIMEN,1981-03-04,1981,-69.47,18.42,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51b1ffffff
30e80afc-160e-441e-a8cc-f162b295639b,1928461918,Ocimum basilicum,Ocimum basilicum L.,Lamiaceae,Ocimum,SPECIES,PRESERVED_SPECIMEN,1981-03-04,1981,-69.47,18.42,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51b1ffffff
3739A523-AE40-4296-9336-1F0C68D1CA56,1503208952,Lasiacis divaricata,Lasiacis divaricata var. divaricata,Poaceae,Lasiacis,VARIETY,PRESERVED_SPECIMEN,1981-08-20,1981,-69.4167,18.4333,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,23,06,GUAYACANES,092306,874cd51a5ffffff
3ede0f44-e8ee-43a1-9244-b35e2ed44f5b,1928657050,Acalypha wilkesiana,Acalypha amentacea subsp. wilkesiana (Müll.Arg.) Fosberg,Euphorbiaceae,Acalypha,SUBSPECIES,PRESERVED_SPECIMEN,1981-03-04,1981,-69.47,18.42,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51b1ffffff
3f95d838-aa75-4d29-af82-1774bd71304f,1928667796,Guaiacum sanctum,Guaiacum sanctum L.,Zygophyllaceae,Guaiacum,SPECIES,PRESERVED_SPECIMEN,1981-08-20,1981,-69.42,18.43,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51a1ffffff
40B37579-7C92-4BAB-A669-D0906099EB08,1657210987,Euphorbia hyssopifolia,Euphorbia hyssopifolia L.,Euphorbiaceae,Euphorbia,SPECIES,PRESERVED_SPECIMEN,1971-04-25,1971,-69.4889,18.4115,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,23,06,GUAYACANES,092306,874cd5186ffffff
410a9816-b1a6-489a-9684-80f405defe65,1928687727,Eugenia axillaris,Eugenia axillaris (Sw.) Willd.,Myrtaceae,Eugenia,SPECIES,PRESERVED_SPECIMEN,1966-09-03,1966,-69.454735,18.425448,3791.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51a2ffffff
42ff4ee0-8376-4083-9a67-805093b26591,1928715242,Ipomoea tiliacea,Ipomoea tiliacea (Willd.) Choisy,Convolvulaceae,Ipomoea,SPECIES,PRESERVED_SPECIMEN,1981-03-04,1981,-69.47,18.42,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51b1ffffff
46afd88e-f8fb-44c2-8eac-2fae3b1eb569,1928768022,Crotalaria incana,Crotalaria incana L.,Fabaceae,Crotalaria,SPECIES,PRESERVED_SPECIMEN,1981-03-04,1981,-69.47,18.42,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51b1ffffff
46cb7235-9083-4c0f-9528-17424c6e7658,1928768985,Phoradendron quadrangulare,Phoradendron quadrangulare (Kunth) Griseb.,Viscaceae,Phoradendron,SPECIES,PRESERVED_SPECIMEN,1981-03-04,1981,-69.45,18.47,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd5c59ffffff
49b081f2-3c68-4be7-bc96-165643747940,1928810162,Cynodon dactylon,Cynodon dactylon (L.) Pers.,Poaceae,Cynodon,SPECIES,PRESERVED_SPECIMEN,1964-06-27,1964,-69.456198,18.424982,3601.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51a2ffffff
4B1A6276-D657-4B0E-9504-F535AB5D85AE,123007967,Solanum americanum,Solanum americanum Mill.,Solanaceae,Solanum,SPECIES,PRESERVED_SPECIMEN,1981-03-04,1981,-69.4667,18.4167,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,23,06,GUAYACANES,092306,874cd5184ffffff
4a969a84-8c9c-4dcb-8e94-739091225fb0,1928822841,Euphorbia hypericifolia,Euphorbia hypericifolia L.,Euphorbiaceae,Euphorbia,SPECIES,PRESERVED_SPECIMEN,1966-03-17,1966,-69.456198,18.424982,3601.57,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,23,06,GUAYACANES,092306,874cd51a2ffffff
