occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
009c8389-df2f-481a-9252-628ac9ed57a5,1927776446,Fuirena umbellata,Fuirena umbellata Rottb.,Cyperaceae,Fuirena,SPECIES,PRESERVED_SPECIMEN,1988-05-11,1988,-69.78,18.7,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,29,01,MONTE PLATA,092901,874cd5d96ffffff
09fdbda6-83ad-4bbd-8850-5c43236ab376,1927908583,Rhynchospora holoschoenoides,Rhynchospora holoschoenoides (Rich.) Herter,Cyperaceae,Rhynchospora,SPECIES,PRESERVED_SPECIMEN,1988-05-11,1988,-69.78,18.7,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,29,01,MONTE PLATA,092901,874cd5d96ffffff
0be16cb0-1ded-46a2-b3b2-ba7bee599974,1927935297,Cyperus haspan,Cyperus haspan L.,Cyperaceae,Cyperus,SPECIES,PRESERVED_SPECIMEN,1988-05-11,1988,-69.77,18.87,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,29,01,MONTE PLATA,092901,874cd4a0cffffff
0fee8d33-b347-4d63-9c6c-b5baa8e3a073,1927992848,Rourea surinamensis,Rourea surinamensis Miq.,Connaraceae,Rourea,SPECIES,PRESERVED_SPECIMEN,1988-05-11,1988,-69.77,18.87,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,29,01,MONTE PLATA,092901,874cd4a0cffffff
104d6db3-b888-4623-a527-72b48d4ec36e,1927997834,Tabernaemontana citrifolia,Tabernaemontana citrifolia L.,Apocynaceae,Tabernaemontana,SPECIES,PRESERVED_SPECIMEN,1988-05-11,1988,-69.78,18.7,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,29,01,MONTE PLATA,092901,874cd5d96ffffff
10788fc9-b09d-47ce-9b4b-2ec15ee8f588,1928000755,Miconia rubiginosa,Miconia rubiginosa (Bonpl.) DC.,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,1990-02-27,1990,-69.77,18.87,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,29,01,MONTE PLATA,092901,874cd4a0cffffff
10daf6d8-5e23-4701-903e-e43de02db846,1304204648,Solanum torvum,Solanum torvum Sw.,Solanaceae,Solanum,SPECIES,OCCURRENCE,,NA,-69.833333,18.727797,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,PBI_NHM,,29,01,MONTE PLATA,092901,874cd4ad8ffffff
10de49da-20cd-436a-8dba-0207fbbfa77f,1928005691,Miconia laevigata,Miconia laevigata (L.) DC.,Melastomataceae,Miconia,SPECIES,PRESERVED_SPECIMEN,1988-05-11,1988,-69.78,18.7,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,29,01,MONTE PLATA,092901,874cd5d96ffffff
15cdfee6-6574-4edd-80d7-88ed5dea0cf1,1928075300,Lindsaea stricta,Lindsaea stricta var. stricta,Lindsaeaceae,Lindsaea,VARIETY,PRESERVED_SPECIMEN,1988-05-11,1988,-69.77,18.87,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,29,01,MONTE PLATA,092901,874cd4a0cffffff
16d31887-1b37-4a30-9299-bd7672b9dd78,1304607693,Solanum mammosum,Solanum mammosum L.,Solanaceae,Solanum,SPECIES,OCCURRENCE,1988-05-11,1988,-69.783333,18.7,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,Bioversity,,29,01,MONTE PLATA,092901,874cd4365ffffff
