occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
,218996080,Cassia grandis,Cassia grandis L.f.,Fabaceae,Cassia,SPECIES,OCCURRENCE,1985-04-07,1985,-70.01667,18.8,NA,96acabd8-f762-11e1-a439-00145eb45e9a,IBUNAM,MEXU,29,04,YAMASÁ,092904,874cd406bffffff
04a0749c-96ca-4065-99ae-85dba56d42ca,1927832843,Cyathea parvula,Cyathea parvula (Jenman) Domin,Cyatheaceae,Cyathea,SPECIES,PRESERVED_SPECIMEN,1984-06-13,1984,-70.17,18.75,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,29,04,YAMASÁ,092904,874cd40ccffffff
05ff0967-800e-4e01-8124-97aba93d7a37,1927852509,Alsophila brooksii,Alsophila brooksii (Maxon) R.M.Tryon,Cyatheaceae,Alsophila,SPECIES,PRESERVED_SPECIMEN,1984-06-12,1984,-70.17,18.75,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,29,04,YAMASÁ,092904,874cd40ccffffff
06e7d670-b1ba-454e-bcd1-3b3cf6c07fab,1090215762,Eugenia monticola,Eugenia monticola (Sw.) DC.,Myrtaceae,Eugenia,SPECIES,PRESERVED_SPECIMEN,2001-08-05,2001,-70.136,18.794,NA,b929f23d-290f-4e85-8f17-764c55b3b284,BPBM,BISH,29,04,YAMASÁ,092904,874cd4053ffffff
08fe6f82-8b35-4bfe-8806-45d5269db144,1927895029,Cyathea parvula,Cyathea parvula (Jenman) Domin,Cyatheaceae,Cyathea,SPECIES,PRESERVED_SPECIMEN,1984-06-13,1984,-70.17,18.75,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,29,04,YAMASÁ,092904,874cd40ccffffff
0af04327-0e0b-4734-9a0d-7e706f40a5a7,5833108732,Gonzalagunia hirsuta,Gonzalagunia hirsuta (Jacq.) K.Schum.,Rubiaceae,Gonzalagunia,SPECIES,PRESERVED_SPECIMEN,1980-12-02,1980,-70.211045,18.852924,1000,453e3294-97ef-4e1c-87cb-1ef7c5351d8e,DEK,,29,04,YAMASÁ,092904,874cd4018ffffff
0c6a89a9-281d-4ac3-8833-9ef13f8bfc9e,1927942672,Piper hispidum,Piper hispidum Sw.,Piperaceae,Piper,SPECIES,PRESERVED_SPECIMEN,1984-06-13,1984,-70.17,18.75,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,29,04,YAMASÁ,092904,874cd40ccffffff
0d48c124-8eef-4d09-9bc8-50ae19f16efa,1927955537,Agave L.,Agave L.,Asparagaceae,Agave,GENUS,PRESERVED_SPECIMEN,1980-12-02,1980,-70.125,18.73,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,29,04,YAMASÁ,092904,874cd43b0ffffff
103ab4e4-1894-4cde-937b-f3b146e2bfd4,1927997638,Turpinia occidentalis,Turpinia occidentalis (Sw.) G.Don,Staphyleaceae,Turpinia,SPECIES,PRESERVED_SPECIMEN,1980-08-13,1980,-70.05,18.68,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,29,04,YAMASÁ,092904,874cd43aaffffff
12abcdbf-c92b-46d8-b5e9-362ce9ab5faf,1928031335,Dichaea latifolia,Dichaea latifolia Lindl.,Orchidaceae,Dichaea,SPECIES,PRESERVED_SPECIMEN,1984-06-13,1984,-70.17,18.75,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,29,04,YAMASÁ,092904,874cd40ccffffff
