occurrenceID,gbifID,especie,scientificName,family,genus,taxonRank,basisOfRecord,eventDate,year,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,datasetKey,institutionCode,collectionCode,provincia_codigo,municipio_codigo,municipio,id_municipio,hex_id
006a364a-afb4-4795-accc-f586754c6341,1927774405,Oplismenus compositus,Oplismenus hirtellus subsp. setarius (Lam.) Mez ex Ekman,Poaceae,Oplismenus,SUBSPECIES,PRESERVED_SPECIMEN,1985-10-16,1985,-69.78,18.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd424dffffff
02530ff1-8d4f-49f2-8351-be2c4c95255b,1927799791,Serjania polyphylla,Serjania polyphylla (L.) Poir. ex Steud.,Sapindaceae,Serjania,SPECIES,PRESERVED_SPECIMEN,1981-02-17,1981,-69.83,18.53,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd4245ffffff
0307a256-f9d0-4057-8860-fb318f32e95b,1927812989,Jatropha gossypiifolia,Jatropha gossypiifolia L.,Euphorbiaceae,Jatropha,SPECIES,PRESERVED_SPECIMEN,1981-02-17,1981,-69.83,18.52,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd4240ffffff
04494148-5144-41E5-A5F9-5AE7FF39153D,122920582,Cecropia peltata,Cecropia peltata L.,Urticaceae,Cecropia,SPECIES,PRESERVED_SPECIMEN,1980-06-02,1980,-69.7833,18.4833,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,32,01,SANTO DOMINGO ESTE,103201,874cd424dffffff
04d925f1-ce72-464e-a945-a4b332df97a7,1927836111,Distimake aegyptius,Merremia aegyptia (L.) Urb.,Convolvulaceae,Distimake,SPECIES,PRESERVED_SPECIMEN,1981-03-12,1981,-69.78,18.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd424dffffff
058b6f98-3e69-4637-86c1-7d4699440a04,1927846127,Stachytarpheta jamaicensis,Stachytarpheta jamaicensis (L.) Vahl,Verbenaceae,Stachytarpheta,SPECIES,PRESERVED_SPECIMEN,1980-04-23,1980,-69.78,18.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd424dffffff
06A6516A-0496-4DBE-AF18-C16172A25A1F,1503209275,Badiera penaea,Badiera penaea (L.) DC.,Polygalaceae,Badiera,SPECIES,PRESERVED_SPECIMEN,1981-07-24,1981,-69.75,18.5,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,32,01,SANTO DOMINGO ESTE,103201,874cd5534ffffff
06a4b903-2528-4dd3-8594-f619768cfa33,4079748274,Machaerium lunatum,Machaerium lunatum (L.f.) Ducke,Fabaceae,Machaerium,SPECIES,PRESERVED_SPECIMEN,1959-10-31,1959,-69.854547,18.531672,644,3b040a48-deae-485c-95b1-2ac80b7fdc54,IIBZ,USD,32,01,SANTO DOMINGO ESTE,103201,874cd4246ffffff
06f881bd-97b1-4774-8e5a-341f9fa7329b,1927868076,Rhynchospora holoschoenoides,Rhynchospora holoschoenoides (Rich.) Herter,Cyperaceae,Rhynchospora,SPECIES,PRESERVED_SPECIMEN,1985-03-05,1985,-69.8,18.5633,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd4265ffffff
09C05FB4-0408-4CF5-92C5-798D01A2127E,122903605,Isotrema hei,Aristolochia hei (Lei Cai & X.X.Zhu) S.S.Ying,Aristolochiaceae,Isotrema,SPECIES,PRESERVED_SPECIMEN,1981-07-24,1981,-69.75,18.5,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,32,01,SANTO DOMINGO ESTE,103201,874cd5534ffffff
0CE1C442-00C0-4A71-A5C2-6073C91E60DA,122989893,Polygala L.,Polygala L.,Polygalaceae,Polygala,GENUS,PRESERVED_SPECIMEN,1985-10-14,1985,-69.7833,18.4833,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,32,01,SANTO DOMINGO ESTE,103201,874cd424dffffff
0F3348C9-2331-4CFD-A885-B747041F2056,122910098,Blighia sapida,Blighia sapida K.D.Koenig,Sapindaceae,Blighia,SPECIES,PRESERVED_SPECIMEN,1983-07-30,1983,-69.7833,18.4833,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,32,01,SANTO DOMINGO ESTE,103201,874cd424dffffff
0bcd6b5d-0d21-42ed-aac7-a512eb880f9b,1927934367,Portulaca oleracea,Portulaca oleracea L.,Portulacaceae,Portulaca,SPECIES,PRESERVED_SPECIMEN,1980-04-23,1980,-69.78,18.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd424dffffff
0e80c815-20f4-487b-bef9-41c838dcf881,1927972446,Ipomoea indica,Ipomoea indica (Burm.) Merr.,Convolvulaceae,Ipomoea,SPECIES,PRESERVED_SPECIMEN,1980-04-23,1980,-69.78,18.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd424dffffff
0f41309f-53cb-4c7b-b03b-6428c8a3a144,1927983202,Chrysophyllum cainito,Chrysophyllum cainito L.,Sapotaceae,Chrysophyllum,SPECIES,PRESERVED_SPECIMEN,1981-02-17,1981,-69.83,18.52,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd4240ffffff
108b6241-c928-4931-87ac-cbbe024f2af0,5074157708,Triumfetta semitriloba,Triumfetta semitriloba Jacq.,Malvaceae,Triumfetta,SPECIES,PRESERVED_SPECIMEN,1980-12-09,1980,-69.743444,18.591125,2500,453e3294-97ef-4e1c-87cb-1ef7c5351d8e,DEK,,32,01,SANTO DOMINGO ESTE,103201,874cd5cb3ffffff
1190F738-1DC0-45D6-AADA-4502B693111D,1503209267,Phyllanthus nummularioides,Phyllanthus nummularioides Müll.Arg.,Phyllanthaceae,Phyllanthus,SPECIES,PRESERVED_SPECIMEN,1981-07-24,1981,-69.75,18.5,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,32,01,SANTO DOMINGO ESTE,103201,874cd5534ffffff
11f9d4f2-339f-4263-9d4e-4d3bfc782324,1928021261,Selaginella plumosa,Selaginella plumosa (L.) C.Presl,Selaginellaceae,Selaginella,SPECIES,PRESERVED_SPECIMEN,1981-02-17,1981,-69.83,18.52,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd4240ffffff
12FDF838-EF88-43E8-B77F-27A5F0E3C230,122927580,Coccoloba nodosa,Coccoloba nodosa Lindau,Polygonaceae,Coccoloba,SPECIES,PRESERVED_SPECIMEN,1981-07-24,1981,-69.75,18.5,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,32,01,SANTO DOMINGO ESTE,103201,874cd5534ffffff
131a4f2f-194e-4fbf-9ba7-146299d7cd9d,4079748271,Machaerium lunatum,Machaerium lunatum (L.f.) Ducke,Fabaceae,Machaerium,SPECIES,PRESERVED_SPECIMEN,1965-03-01,1965,-69.867915,18.504641,1241,3b040a48-deae-485c-95b1-2ac80b7fdc54,IIBZ,USD,32,01,SANTO DOMINGO ESTE,103201,874cd425cffffff
1569f69d-c141-4691-aff3-2a840f621626,1928070788,Sida urens,Sida urens L.,Malvaceae,Sida,SPECIES,PRESERVED_SPECIMEN,1981-02-17,1981,-69.83,18.52,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd4240ffffff
161B5DED-6C28-4D95-9614-AB1E2A45C0BA,123022016,Vitex divaricata,Vitex divaricata Sw.,Lamiaceae,Vitex,SPECIES,PRESERVED_SPECIMEN,1981-07-24,1981,-69.75,18.5,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,32,01,SANTO DOMINGO ESTE,103201,874cd5534ffffff
163ed4ed-4a51-4bd6-b1e4-6dfd75eecf6d,4079748096,Trichospira verticillata,Trichospira verticillata (L.) S.F.Blake,Asteraceae,Trichospira,SPECIES,PRESERVED_SPECIMEN,1954-11-05,1954,-69.75185,18.573406,433,3b040a48-deae-485c-95b1-2ac80b7fdc54,IIBZ,USD,32,01,SANTO DOMINGO ESTE,103201,874cd5c95ffffff
17ab4d6d-f6b6-4f4e-a2f7-f43d9fad65a1,1928102963,Leea guineensis,Leea coccinea Planch.,Vitaceae,Leea,SPECIES,PRESERVED_SPECIMEN,1980-06-02,1980,-69.78,18.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd424dffffff
19c3ae36-545d-485e-96db-f8e4eda32e1a,1928132263,Selaginella plana,Selaginella plana (Desv. ex Poir.) Hieron.,Selaginellaceae,Selaginella,SPECIES,PRESERVED_SPECIMEN,1980-06-02,1980,-69.78,18.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd424dffffff
1AEE24DF-DBB4-442E-AD30-EFECFE91CB71,122910097,Blighia sapida,Blighia sapida K.D.Koenig,Sapindaceae,Blighia,SPECIES,PRESERVED_SPECIMEN,1981-02-17,1981,-69.8333,18.5333,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,32,01,SANTO DOMINGO ESTE,103201,874cd4244ffffff
1a727d3f-0d2c-4a72-bf21-8f31217ccadc,1928140482,Malachra urens,Malachra urens Poit.,Malvaceae,Malachra,SPECIES,PRESERVED_SPECIMEN,1981-02-17,1981,-69.83,18.52,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd4240ffffff
1a909983-41b5-4efa-8996-4b32e262e301,1928141950,Cyperus blepharoleptos,Cyperus blepharoleptos Steud.,Cyperaceae,Cyperus,SPECIES,PRESERVED_SPECIMEN,1985-03-06,1985,-69.78,18.55,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd5c92ffffff
1aa538e9-512c-4930-a03f-03631b59330a,1928143137,Vachellia macracantha,Vachellia macracantha (Humb. & Bonpl. ex Willd.) Seigler & Ebinger,Fabaceae,Vachellia,SPECIES,PRESERVED_SPECIMEN,1980-01-10,1980,-69.8583,18.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd4258ffffff
1c10da58-0c36-46bf-a90f-980d4a048517,1928163123,Hamelia patens,Hamelia patens Jacq.,Rubiaceae,Hamelia,SPECIES,PRESERVED_SPECIMEN,1981-03-12,1981,-69.78,18.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd424dffffff
1e4389ba-f5d7-47bf-a3b6-9e468c0797e9,1928197858,Vitis L.,Vitis L.,Vitaceae,Vitis,GENUS,PRESERVED_SPECIMEN,1981-02-17,1981,-69.83,18.52,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd4240ffffff
1ecbbf04-b5e1-4bd9-91e7-8612af0887bb,1928205170,Persicaria punctata,Polygonum punctatum Elliott,Polygonaceae,Persicaria,SPECIES,PRESERVED_SPECIMEN,1981-02-17,1981,-69.83,18.52,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd4240ffffff
1f50a756-d241-4489-a155-7eb6e0f8c84c,1928212620,Pleopeltis polypodioides,Pleopeltis polypodioides (L.) E.G.Andrews & Windham,Polypodiaceae,Pleopeltis,SPECIES,PRESERVED_SPECIMEN,1981-07-24,1981,-69.75,18.5,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd5534ffffff
22668f33-a2fb-4c15-80be-7417bc4685d9,1928256421,Albizia lebbeck,Albizia lebbeck (L.) Benth.,Fabaceae,Albizia,SPECIES,PRESERVED_SPECIMEN,1984-12-12,1984,-69.87,18.47,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd425bffffff
23f5de2f-ccbd-41f4-bb52-aab159e4b25b,1928278260,Coccoloba nodosa,Coccoloba nodosa Lindau,Polygonaceae,Coccoloba,SPECIES,PRESERVED_SPECIMEN,1981-07-24,1981,-69.75,18.5,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd5534ffffff
24837987-bdd3-4ad1-8606-87efdb36a47c,1928285918,Plaubelia sprengelii,Plaubelia sprengelii (Schwägr.) R.H. Zander,Pottiaceae,Plaubelia,SPECIES,PRESERVED_SPECIMEN,1981-03-31,1981,-69.85,18.5,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd425cffffff
24C5E7E5-935D-4CF8-9D9E-3D8AB5166386,1503211605,Cyperus luzulae,Cyperus luzulae (L.) Retz.,Cyperaceae,Cyperus,SPECIES,PRESERVED_SPECIMEN,1981-02-17,1981,-69.8333,18.5167,NA,af1b4db0-c8ce-4a95-b700-8a6a02bed9d6,USF,Herb,32,01,SANTO DOMINGO ESTE,103201,874cd4240ffffff
250c59f9-aa95-4b22-b165-226c56b99d43,1928293405,Syzygium samarangense,Syzygium samarangense (Blume) Merr. & L.M.Perry,Myrtaceae,Syzygium,SPECIES,PRESERVED_SPECIMEN,1980-06-02,1980,-69.78,18.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd424dffffff
2527153f-1930-4301-abe0-2d9f8a4d1cbe,1928294385,Cissampelos pareira,Cissampelos pareira L.,Menispermaceae,Cissampelos,SPECIES,PRESERVED_SPECIMEN,1980-04-23,1980,-69.78,18.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd424dffffff
25da4049-71fc-48eb-afed-c134b809c471,1928304586,Cupania americana,Cupania americana L.,Sapindaceae,Cupania,SPECIES,PRESERVED_SPECIMEN,1981-03-12,1981,-69.78,18.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd424dffffff
28EF2B26-F496-4C75-AF11-FAAF788F5CEC,122984045,Lippia stoechadifolia,Phyla stoechadifolia (L.) Small,Verbenaceae,Lippia,SPECIES,PRESERVED_SPECIMEN,1981-02-17,1981,-69.8333,18.5167,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,32,01,SANTO DOMINGO ESTE,103201,874cd4240ffffff
2927dc05-d673-4072-8135-9d32f62823db,4079747727,Tillandsia tenuifolia,Tillandsia tenuifolia L.,Bromeliaceae,Tillandsia,SPECIES,PRESERVED_SPECIMEN,1956-11-04,1956,-69.75185,18.573406,433,3b040a48-deae-485c-95b1-2ac80b7fdc54,IIBZ,USD,32,01,SANTO DOMINGO ESTE,103201,874cd5c95ffffff
29612948-ce2d-4dbc-b97a-19a464418359,1304204670,Solanum torvum,Solanum torvum Sw.,Solanaceae,Solanum,SPECIES,OCCURRENCE,,NA,-69.833333,18.516667,NA,07044577-bd82-4089-9f3a-f4a9d2170b2e,PBI_NHM,,32,01,SANTO DOMINGO ESTE,103201,874cd4240ffffff
2995ea01-1d02-4fd1-a296-11241b41b9ba,1928357259,Roystonea borinquena,Roystonea borinquena O.F.Cook,Arecaceae,Roystonea,SPECIES,PRESERVED_SPECIMEN,1980-11-05,1980,-69.77,18.58,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd5c94ffffff
2a5fbab1-cbb3-4eb5-96aa-b7bf214132d3,1457758222,Psychotria nervosa,Psychotria nervosa Sw.,Rubiaceae,Psychotria,SPECIES,PRESERVED_SPECIMEN,2000-04-04,2000,-69.759722,18.530278,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,32,01,SANTO DOMINGO ESTE,103201,874cd426dffffff
2c2bb13b-b73e-43f3-9d61-8f6e3415fec6,1928393981,Ipomoea carnea,Ipomoea carnea subsp. fistulosa (Mart. ex Choisy) D.F.Austin,Convolvulaceae,Ipomoea,SUBSPECIES,PRESERVED_SPECIMEN,1981-05-14,1981,-69.75,18.57,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd5c95ffffff
2c542a2f-1524-44f8-9f96-9d5b0363b639,1457758844,Ternstroemia peduncularis,Ternstroemia peduncularis DC.,Pentaphylacaceae,Ternstroemia,SPECIES,PRESERVED_SPECIMEN,1981-07-24,1981,-69.75,18.5,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,32,01,SANTO DOMINGO ESTE,103201,874cd5534ffffff
2ed951c7-71e6-4358-bfc4-28ecda2e493f,1928433183,Crotalaria pallida,Crotalaria pallida Aiton,Fabaceae,Crotalaria,SPECIES,PRESERVED_SPECIMEN,1985-10-16,1985,-69.78,18.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd424dffffff
2fe76195-395d-419d-80ed-067a5fed63fa,2270674339,Eugenia monticola,Eugenia monticola (Sw.) DC.,Myrtaceae,Eugenia,SPECIES,PRESERVED_SPECIMEN,1985-10-16,1985,-69.7833,18.4833,NA,e05fd4c2-4d77-4c50-880e-1b22096af300,ASU,Plants,32,01,SANTO DOMINGO ESTE,103201,874cd424dffffff
30C27F8B-3600-46A9-8C3C-34CCC9602CC9,123018058,Trema lamarckianum,Trema lamarckianum (Roem. & Schult.) Blume,Cannabaceae,Trema,SPECIES,PRESERVED_SPECIMEN,1981-07-22,1981,-69.75,18.5,NA,832cb04e-f762-11e1-a439-00145eb45e9a,FTG,Herbarium,32,01,SANTO DOMINGO ESTE,103201,874cd5534ffffff
3140798e-3af5-4dff-8431-3502be7ce998,4998104473,Coccoloba nodosa,Coccoloba nodosa Lindau,Polygonaceae,Coccoloba,SPECIES,PRESERVED_SPECIMEN,1981-07-24,1981,-69.75,18.5,NA,b89d52a2-861d-4388-adad-c0da3d55fc78,UF,,32,01,SANTO DOMINGO ESTE,103201,874cd5534ffffff
3224963d-4a5f-4f1c-9f24-ab59935f6675,1928478055,Jasminum fluminense,Jasminum fluminense Vell.,Oleaceae,Jasminum,SPECIES,PRESERVED_SPECIMEN,1980-01-10,1980,-69.8583,18.48,NA,d415c253-4d61-4459-9d25-4015b9084fb0,NY,NY,32,01,SANTO DOMINGO ESTE,103201,874cd4258ffffff
